,quadrant,left_pupil,right_pupil,gaze_center_x,gaze_center_y,nose_end_points,gaze_end_points
0,3rd,"(455, 459)","(561, 447)",508,453,"(519, 555)","(866, 1349)"
1,3rd,"(469, 363)","(584, 360)",526,361,"(522, 465)","(810, 830)"
2,4th,"(467, 374)","(586, 371)",526,372,"(517, 473)","(451, 725)"
3,3rd,"(450, 370)","(562, 369)",506,369,"(505, 479)","(749, 926)"
4,3rd,"(448, 371)","(565, 372)",506,371,"(504, 481)","(555, 886)"
5,3rd,"(451, 373)","(566, 369)",508,371,"(506, 478)","(734, 854)"
6,3rd,"(446, 370)","(566, 368)",506,369,"(509, 478)","(911, 921)"
7,4th,"(460, 375)","(574, 373)",517,374,"(506, 475)","(375, 732)"
8,4th,"(462, 375)","(588, 370)",525,372,"(514, 475)","(401, 837)"
9,3rd,"(464, 378)","(581, 373)",522,375,"(517, 478)","(564, 822)"
10,4th,"(462, 380)","(583, 374)",522,377,"(513, 478)","(498, 813)"
11,4th,"(451, 380)","(568, 376)",509,378,"(505, 479)","(345, 735)"
12,4th,"(439, 379)","(561, 371)",500,375,"(492, 480)","(250, 864)"
13,4th,"(430, 377)","(543, 372)",486,374,"(481, 481)","(108, 908)"
14,3rd,"(425, 378)","(540, 373)",482,375,"(485, 481)","(497, 548)"
15,4th,"(421, 382)","(538, 373)",479,377,"(482, 481)","(449, 900)"
16,4th,"(419, 383)","(535, 376)",477,379,"(476, 481)","(377, 1003)"
17,3rd,"(413, 382)","(530, 375)",471,378,"(476, 486)","(645, 983)"
18,4th,"(411, 386)","(528, 374)",469,380,"(473, 485)","(413, 536)"
19,3rd,"(408, 386)","(523, 377)",465,381,"(470, 486)","(487, 550)"
20,4th,"(405, 385)","(520, 375)",462,380,"(465, 486)","(209, 920)"
21,4th,"(397, 380)","(511, 372)",454,376,"(464, 485)","(274, 993)"
22,3rd,"(413, 378)","(533, 365)",473,371,"(472, 472)","(611, 787)"
23,3rd,"(513, 364)","(610, 372)",561,368,"(553, 455)","(880, 672)"
24,3rd,"(610, 392)","(671, 401)",640,396,"(637, 444)","(759, 481)"
25,3rd,"(610, 348)","(703, 368)",656,358,"(650, 439)","(1368, 641)"
26,3rd,"(615, 350)","(709, 368)",662,359,"(655, 439)","(1243, 644)"
27,3rd,"(615, 348)","(710, 370)",662,359,"(653, 439)","(1244, 615)"
28,3rd,"(581, 345)","(704, 371)",642,358,"(631, 439)","(1209, 667)"
29,3rd,"(462, 354)","(573, 357)",517,355,"(513, 451)","(1037, 731)"
30,3rd,"(469, 350)","(578, 352)",523,351,"(523, 447)","(1131, 719)"
31,3rd,"(479, 347)","(590, 350)",534,348,"(535, 444)","(1048, 710)"
32,3rd,"(490, 346)","(604, 348)",547,347,"(545, 446)","(1124, 740)"
33,3rd,"(503, 344)","(619, 346)",561,345,"(559, 443)","(1130, 744)"
34,4th,"(516, 341)","(631, 343)",573,342,"(572, 444)","(510, 492)"
35,3rd,"(518, 342)","(629, 349)",573,345,"(572, 445)","(1319, 783)"
36,4th,"(514, 340)","(625, 348)",569,344,"(565, 445)","(439, 463)"
37,3rd,"(502, 341)","(615, 346)",558,343,"(557, 449)","(1363, 867)"
38,3rd,"(498, 341)","(613, 347)",555,344,"(553, 447)","(1270, 798)"
39,3rd,"(497, 342)","(612, 349)",554,345,"(552, 448)","(1311, 829)"
40,3rd,"(503, 342)","(616, 349)",559,345,"(560, 448)","(1416, 814)"
41,3rd,"(508, 343)","(622, 350)",565,346,"(565, 449)","(1356, 766)"
42,3rd,"(511, 343)","(623, 352)",567,347,"(567, 450)","(1474, 815)"
43,3rd,"(510, 345)","(620, 353)",565,349,"(567, 451)","(1321, 786)"
44,3rd,"(511, 344)","(622, 353)",566,348,"(568, 451)","(1405, 806)"
45,3rd,"(511, 344)","(623, 353)",567,348,"(569, 450)","(1384, 761)"
46,3rd,"(512, 344)","(624, 354)",568,349,"(569, 450)","(1457, 779)"
47,3rd,"(511, 345)","(624, 355)",567,350,"(568, 451)","(1390, 773)"
48,3rd,"(510, 345)","(619, 355)",564,350,"(567, 451)","(1421, 779)"
49,3rd,"(437, 204)","(549, 202)",493,203,"(497, 312)","(717, 556)"
50,4th,"(432, 213)","(552, 209)",492,211,"(494, 320)","(63, 570)"
51,4th,"(431, 224)","(540, 216)",485,220,"(485, 331)","(353, 368)"
52,4th,"(427, 237)","(552, 228)",489,232,"(480, 340)","(363, 375)"
53,3rd,"(449, 256)","(572, 250)",510,253,"(507, 363)","(-154, 518)"
54,4th,"(460, 257)","(574, 253)",517,255,"(516, 360)","(388, 385)"
55,3rd,"(455, 325)","(561, 289)",508,307,"(536, 379)","(673, 748)"
56,3rd,"(491, 270)","(620, 267)",555,268,"(547, 372)","(1169, 668)"
57,3rd,"(490, 277)","(608, 278)",549,277,"(546, 378)","(895, 653)"
58,3rd,"(489, 274)","(613, 273)",551,273,"(549, 377)","(1007, 688)"
59,3rd,"(491, 280)","(608, 279)",549,279,"(550, 383)","(1135, 735)"
60,3rd,"(497, 281)","(616, 281)",556,281,"(555, 384)","(1074, 693)"
61,3rd,"(505, 281)","(624, 281)",564,281,"(558, 384)","(1116, 715)"
