,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
0,3rd,"(559, 258)","(703, 265)","(631, 261)","(629, 362)","(1678, 660)","[[-3.09420656]
 [-0.06777903]
 [ 0.22603853]]","[[ 642.84676731]
 [  91.55563657]
 [1215.93724399]]"
1,3rd,"(555, 254)","(710, 264)","(632, 259)","(636, 358)","(1450, 586)","[[-3.09340527]
 [-0.06499314]
 [ 0.31908024]]","[[ 654.31195168]
 [  81.66443874]
 [1225.37695148]]"
2,3rd,"(561, 254)","(706, 265)","(633, 259)","(633, 357)","(1336, 582)","[[-3.08274745]
 [-0.06362831]
 [ 0.34583753]]","[[ 656.66459869]
 [  80.75536096]
 [1239.6874605 ]]"
3,3rd,"(550, 253)","(696, 265)","(623, 259)","(628, 359)","(1487, 680)","[[-3.06912428]
 [-0.07079506]
 [ 0.30425297]]","[[ 630.55593824]
 [  83.89008842]
 [1209.33198996]]"
4,3rd,"(553, 253)","(695, 265)","(624, 259)","(627, 357)","(1337, 570)","[[-3.09262107]
 [-0.06271466]
 [ 0.34771138]]","[[ 641.52241222]
 [  81.06905662]
 [1230.0147988 ]]"
5,3rd,"(551, 254)","(695, 267)","(623, 260)","(628, 359)","(1462, 651)","[[-3.0756226 ]
 [-0.07473447]
 [ 0.30545512]]","[[ 635.62996869]
 [  84.18965568]
 [1217.34559115]]"
6,3rd,"(553, 250)","(694, 262)","(623, 256)","(627, 357)","(1605, 632)","[[-3.0889567 ]
 [-0.08744757]
 [ 0.26473157]]","[[ 634.34888311]
 [  79.40811231]
 [1208.61578051]]"
7,3rd,"(561, 255)","(706, 266)","(633, 260)","(626, 359)","(1261, 589)","[[-3.07834598]
 [-0.07844568]
 [ 0.3590361 ]]","[[ 647.39271747]
 [  86.20785732]
 [1246.60299899]]"
8,3rd,"(560, 257)","(707, 265)","(633, 261)","(628, 360)","(1386, 611)","[[-3.08741579]
 [-0.07527434]
 [ 0.33551627]]","[[ 637.31284484]
 [  87.91163233]
 [1221.62304451]]"
9,3rd,"(558, 260)","(707, 271)","(632, 265)","(629, 362)","(1377, 609)","[[-3.09047891]
 [-0.06243017]
 [ 0.33009232]]","[[ 643.9427433 ]
 [  92.21144158]
 [1230.46174803]]"
10,3rd,"(555, 254)","(700, 265)","(627, 259)","(628, 359)","(1421, 608)","[[-3.08870434]
 [-0.06883661]
 [ 0.32548046]]","[[ 636.66688047]
 [  83.87169407]
 [1218.39229327]]"
11,3rd,"(533, 255)","(688, 265)","(610, 260)","(616, 357)","(1236, 641)","[[-3.0649312 ]
 [-0.04378595]
 [ 0.3726724 ]]","[[ 608.62942274]
 [  81.32674575]
 [1218.78066747]]"
12,3rd,"(533, 258)","(684, 270)","(608, 264)","(614, 362)","(1191, 589)","[[-3.08470522]
 [-0.07001882]
 [ 0.37845182]]","[[ 616.44884813]
 [  90.87831849]
 [1236.0006452 ]]"
13,3rd,"(536, 261)","(687, 269)","(611, 265)","(614, 363)","(1049, 594)","[[-3.07165011]
 [-0.05512054]
 [ 0.44428566]]","[[ 615.69202447]
 [  94.88086197]
 [1239.85038573]]"
14,3rd,"(545, 258)","(687, 267)","(616, 262)","(615, 362)","(1196, 614)","[[-3.07838718]
 [-0.06454986]
 [ 0.39125128]]","[[ 610.45083996]
 [  90.68200996]
 [1221.75432936]]"
15,3rd,"(538, 262)","(687, 272)","(612, 267)","(617, 365)","(1215, 609)","[[-3.08354333]
 [-0.07553625]
 [ 0.37318047]]","[[ 621.2241621 ]
 [  97.31332188]
 [1235.06165272]]"
16,3rd,"(553, 256)","(701, 264)","(627, 260)","(620, 358)","(1170, 611)","[[-3.06772553]
 [-0.05642021]
 [ 0.40210859]]","[[ 622.37168925]
 [  84.90268251]
 [1230.35281342]]"
17,3rd,"(551, 260)","(695, 270)","(623, 265)","(617, 365)","(1213, 636)","[[-3.07061067]
 [-0.08226383]
 [ 0.37446905]]","[[ 622.0525018 ]
 [  96.5630388 ]
 [1233.68539407]]"
18,3rd,"(542, 263)","(697, 272)","(619, 267)","(618, 368)","(1155, 631)","[[-3.07618806]
 [-0.05148797]
 [ 0.40144165]]","[[ 621.30641871]
 [ 103.64306684]
 [1235.71177086]]"
19,3rd,"(542, 260)","(697, 269)","(619, 264)","(621, 364)","(1214, 640)","[[-3.06807484]
 [-0.06443029]
 [ 0.37366639]]","[[ 628.03106078]
 [  96.02080332]
 [1237.95713922]]"
20,3rd,"(542, 261)","(697, 272)","(619, 266)","(621, 366)","(1333, 623)","[[-3.09291141]
 [-0.05464371]
 [ 0.33879779]]","[[ 625.57279043]
 [  98.77256996]
 [1226.03559054]]"
21,3rd,"(543, 258)","(695, 266)","(619, 262)","(620, 358)","(1322, 572)","[[-3.09677858]
 [-0.06377282]
 [ 0.32565246]]","[[ 630.48564237]
 [  85.97448772]
 [1239.02415426]]"
22,2nd,"(548, 224)","(687, 231)","(617, 227)","(614, 307)","(1181, 256)","[[-3.139416  ]
 [-0.07857744]
 [ 0.33503593]]","[[ 642.92749235]
 [  -6.26327717]
 [1288.50358266]]"
23,3rd,"(499, 256)","(643, 255)","(571, 255)","(569, 345)","(604, 468)","[[-3.06283598]
 [ 0.00545979]
 [ 0.58340202]]","[[ 532.93285652]
 [  64.31143072]
 [1283.58673452]]"
24,3rd,"(508, 265)","(644, 269)","(576, 267)","(573, 358)","(825, 524)","[[-3.09144108]
 [-0.01140728]
 [ 0.4539456 ]]","[[ 540.68802814]
 [  88.64232767]
 [1266.03830315]]"
25,3rd,"(506, 267)","(647, 273)","(576, 270)","(575, 359)","(657, 487)","[[-3.07872616]
 [-0.05113919]
 [ 0.55895884]]","[[ 549.55423912]
 [  94.22345855]
 [1294.55232006]]"
26,3rd,"(504, 261)","(653, 265)","(578, 263)","(579, 350)","(705, 468)","[[-3.08291534]
 [-0.04098855]
 [ 0.54079432]]","[[ 551.7179065 ]
 [  77.39291408]
 [1276.59466345]]"
27,3rd,"(519, 261)","(657, 268)","(588, 264)","(581, 353)","(775, 500)","[[-3.07721783]
 [-0.06963965]
 [ 0.49882919]]","[[ 555.03325366]
 [  81.18910884]
 [1271.08672611]]"
28,3rd,"(514, 263)","(660, 268)","(587, 265)","(586, 354)","(799, 480)","[[-3.09130022]
 [-0.05254576]
 [ 0.49614613]]","[[ 569.91897726]
 [  83.86881669]
 [1279.22940925]]"
29,3rd,"(524, 258)","(661, 266)","(592, 262)","(590, 353)","(890, 496)","[[-3.09048042]
 [-0.0617655 ]
 [ 0.45246794]]","[[ 578.44442007]
 [  80.937331  ]
 [1272.93673903]]"
30,3rd,"(513, 258)","(665, 267)","(589, 262)","(586, 352)","(888, 482)","[[-3.09687117]
 [-0.05443007]
 [ 0.44784294]]","[[ 570.72779709]
 [  78.01575857]
 [1270.79750377]]"
