,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
0,3rd,"(616, 194)","(731, 193)","(673, 193)","(678, 278)","(1305, 323)","[[-3.02568799]
 [ 0.07679721]
 [ 0.02206991]]","[[ 994.1964458 ]
 [-103.98625584]
 [1611.60569478]]"
1,4th,"(581, 193)","(694, 187)","(637, 190)","(640, 268)","(294, 365)","[[-2.54943505]
 [ 0.15168148]
 [ 1.50255695]]","[[ 821.07541503]
 [-101.14952511]
 [1694.26168406]]"
2,4th,"(590, 191)","(702, 188)","(646, 189)","(641, 271)","(318, 383)","[[-2.5728564 ]
 [ 0.14480797]
 [ 1.395083  ]]","[[ 827.23400011]
 [-100.77327103]
 [1680.76247499]]"
3,3rd,"(590, 194)","(704, 191)","(647, 192)","(642, 277)","(1013, 387)","[[-2.95553027]
 [ 0.12757398]
 [ 0.25042462]]","[[ 905.13855799]
 [ -98.98954055]
 [1636.02251583]]"
4,3rd,"(595, 195)","(710, 192)","(652, 193)","(649, 277)","(978, 283)","[[-3.0473543 ]
 [ 0.07823665]
 [ 0.3145941 ]]","[[ 931.88332594]
 [-113.16468837]
 [1661.02129045]]"
5,2nd,"(592, 193)","(707, 189)","(649, 191)","(649, 277)","(853, 251)","[[-3.06269601]
 [ 0.07489779]
 [ 0.47280559]]","[[ 926.24085457]
 [-118.69871688]
 [1676.42568389]]"
6,2nd,"(592, 192)","(707, 187)","(649, 189)","(651, 277)","(1015, 257)","[[-3.07287582]
 [ 0.09507588]
 [ 0.27712456]]","[[ 934.4406739 ]
 [-118.95128856]
 [1655.46458592]]"
7,4th,"(582, 197)","(700, 189)","(641, 193)","(648, 277)","(548, 352)","[[-2.86401496]
 [ 0.16165173]
 [ 0.90253545]]","[[ 897.36704622]
 [-102.35870792]
 [1700.56616073]]"
8,3rd,"(592, 195)","(707, 190)","(649, 192)","(650, 278)","(1114, 300)","[[-3.04452269]
 [ 0.10840471]
 [ 0.17607269]]","[[ 922.80166002]
 [-105.91365334]
 [1621.46756878]]"
9,4th,"(595, 196)","(709, 191)","(652, 193)","(651, 279)","(468, 388)","[[-2.75216376]
 [ 0.15103211]
 [ 1.05430065]]","[[ 896.67346151]
 [ -92.37200572]
 [1717.1660045 ]]"
10,3rd,"(592, 198)","(708, 192)","(650, 195)","(652, 280)","(1058, 406)","[[-2.94486362]
 [ 0.14138133]
 [ 0.21276745]]","[[ 932.28179111]
 [ -90.13257198]
 [1641.53590609]]"
11,3rd,"(589, 199)","(703, 194)","(646, 196)","(652, 281)","(1167, 328)","[[-3.02673378]
 [ 0.0971164 ]
 [ 0.11386855]]","[[ 925.06450626]
 [ -97.45385416]
 [1615.35497148]]"
12,3rd,"(595, 200)","(710, 195)","(652, 197)","(652, 282)","(1149, 332)","[[-3.02638664]
 [ 0.10669136]
 [ 0.13563509]]","[[ 927.58260091]
 [ -92.98544102]
 [1618.62166254]]"
13,4th,"(595, 199)","(711, 195)","(653, 197)","(651, 282)","(338, 398)","[[-2.59957603]
 [ 0.18092532]
 [ 1.36915437]]","[[ 847.26973433]
 [ -76.18599854]
 [1669.29283   ]]"
14,4th,"(595, 199)","(710, 194)","(652, 196)","(651, 281)","(328, 397)","[[-2.60323079]
 [ 0.18104482]
 [ 1.37806132]]","[[ 832.98873016]
 [ -75.60654435]
 [1643.65150585]]"
15,3rd,"(593, 202)","(708, 198)","(650, 200)","(658, 286)","(1177, 331)","[[-3.03242044]
 [ 0.12694717]
 [ 0.1110423 ]]","[[ 947.98001837]
 [ -87.8307522 ]
 [1627.47971341]]"
16,3rd,"(599, 202)","(715, 199)","(657, 200)","(663, 291)","(1111, 371)","[[-2.99337783]
 [ 0.13093868]
 [ 0.18407749]]","[[ 964.44150705]
 [ -82.04637306]
 [1646.37368348]]"
