,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
0,3rd,"(595, 365)","(742, 354)","(668, 359)","(679, 472)","(811, 552)","[[-0.02955958]
 [-2.19306341]
 [ 0.64550796]]","[[ -943.29630297]
 [ -365.72952408]
 [-1571.00645022]]"
1,3rd,"(600, 347)","(749, 332)","(674, 339)","(684, 454)","(805, 522)","[[-0.02208572]
 [-2.22302016]
 [ 0.59342758]]","[[ -970.14557897]
 [ -313.84970091]
 [-1589.68405487]]"
2,3rd,"(609, 339)","(754, 331)","(681, 335)","(684, 452)","(800, 519)","[[ 1.95919115e-03]
 [ 3.84158875e+00]
 [-9.90831147e-01]]","[[ -956.97252982]
 [ -301.51868913]
 [-1564.95331252]]"
3,3rd,"(598, 354)","(733, 337)","(665, 345)","(682, 459)","(837, 517)","[[-0.06850517]
 [-2.14352968]
 [ 0.54752248]]","[[ -970.31294544]
 [ -328.59128338]
 [-1593.03793291]]"
4,3rd,"(597, 353)","(740, 336)","(668, 344)","(683, 458)","(1405, 898)","[[-3.0498758 ]
 [ 0.18417872]
 [ 0.23435707]]","[[ 856.37335466]
 [ 294.4095592 ]
 [1390.77896062]]"
5,3rd,"(598, 361)","(732, 342)","(665, 351)","(682, 464)","(848, 529)","[[-0.07018818]
 [-2.11539193]
 [ 0.57062209]]","[[ -970.15172418]
 [ -343.89326847]
 [-1588.20319773]]"
6,3rd,"(592, 354)","(727, 334)","(659, 344)","(678, 458)","(854, 511)","[[-0.07835159]
 [-2.0969868 ]
 [ 0.51910433]]","[[ -953.83864999]
 [ -319.75894241]
 [-1576.9220907 ]]"
7,3rd,"(589, 349)","(726, 330)","(657, 339)","(674, 452)","(832, 507)","[[-0.09415003]
 [-2.14846001]
 [ 0.53481942]]","[[ -942.39831613]
 [ -309.51406267]
 [-1575.76771377]]"
8,3rd,"(587, 337)","(733, 316)","(660, 326)","(671, 440)","(828, 503)","[[-0.06055638]
 [-2.15220723]
 [ 0.53816313]]","[[ -935.55539981]
 [ -281.03629044]
 [-1571.22131372]]"
9,3rd,"(597, 329)","(730, 315)","(663, 322)","(683, 433)","(880, 477)","[[-0.07367767]
 [-2.04937404]
 [ 0.42884445]]","[[ -956.73102127]
 [ -258.55005966]
 [-1558.57909458]]"
