,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
0,3rd,"(574, 275)","(724, 276)","(649, 275)","(655, 395)","(1497, 929)","[[-2.95681232]
 [ 0.00860507]
 [ 0.21183596]]","[[ 741.5706771 ]
 [ 136.65890833]
 [1291.09838105]]"
1,3rd,"(683, 231)","(794, 239)","(738, 235)","(739, 357)","(1783, 684)","[[-2.95461364]
 [ 0.0133916 ]
 [ 0.08371425]]","[[ 992.33281444]
 [  51.90241912]
 [1379.35421153]]"
2,3rd,"(673, 237)","(802, 241)","(737, 239)","(737, 354)","(1628, 674)","[[-2.94832712]
 [ 0.00384364]
 [ 0.17289674]]","[[ 993.17428263]
 [  54.24310315]
 [1392.32825505]]"
3,3rd,"(672, 243)","(796, 243)","(734, 243)","(756, 350)","(2258, 700)","[[-2.97480136]
 [ 0.03169911]
 [-0.13295211]]","[[ 978.52728511]
 [  51.37362991]
 [1325.89824861]]"
4,3rd,"(642, 248)","(748, 254)","(695, 251)","(711, 367)","(2007, 826)","[[-2.97781039]
 [ 0.02839413]
 [ 0.09005345]]","[[ 856.9715911 ]
 [  79.77374299]
 [1279.39661511]]"
5,3rd,"(643, 264)","(750, 265)","(696, 264)","(711, 378)","(2032, 765)","[[-3.0204258 ]
 [ 0.05379675]
 [ 0.02940899]]","[[ 875.8050996 ]
 [ 105.71458165]
 [1304.58677923]]"
6,3rd,"(640, 265)","(751, 265)","(695, 265)","(700, 384)","(1758, 826)","[[-2.9580007]
 [ 0.0355912]
 [ 0.0750118]]","[[ 883.67679842]
 [ 115.12141451]
 [1343.38331493]]"
7,3rd,"(638, 263)","(756, 264)","(697, 263)","(705, 383)","(1981, 832)","[[-2.98742899]
 [ 0.03288226]
 [ 0.04025493]]","[[ 872.23910855]
 [ 110.7317705 ]
 [1305.15733486]]"
8,3rd,"(768, 324)","(897, 325)","(832, 324)","(832, 441)","(1744, 818)","[[-3.02073645]
 [ 0.0117789 ]
 [ 0.33730004]]","[[1231.86946992]
 [ 255.94101205]
 [1412.19132309]]"
9,3rd,"(779, 321)","(905, 318)","(842, 319)","(837, 440)","(1716, 845)","[[-2.98404333]
 [ 0.02833676]
 [ 0.34912281]]","[[1258.5171079 ]
 [ 253.41115397]
 [1422.22604353]]"
10,3rd,"(779, 330)","(900, 333)","(839, 331)","(845, 451)","(1875, 831)","[[-3.04150671]
 [ 0.03847877]
 [ 0.28671884]]","[[1258.82527303]
 [ 268.11692579]
 [1407.82540233]]"
11,3rd,"(784, 327)","(905, 327)","(844, 327)","(849, 443)","(1881, 840)","[[-3.01443939]
 [ 0.01337685]
 [ 0.24973507]]","[[1287.90247002]
 [ 261.43865164]
 [1427.37481083]]"
12,3rd,"(774, 326)","(902, 323)","(838, 324)","(845, 439)","(1831, 789)","[[-3.03779249]
 [ 0.04628593]
 [ 0.26911763]]","[[1289.01232364]
 [ 256.18187535]
 [1439.11950501]]"
13,3rd,"(768, 323)","(908, 323)","(838, 323)","(834, 446)","(2656, 1118)","[[-3.06633143]
 [-0.03668921]
 [ 0.31852551]]","[[1068.6422368 ]
 [ 240.8929328 ]
 [1206.91661511]]"
14,3rd,"(739, 302)","(856, 304)","(797, 303)","(808, 420)","(1759, 796)","[[-2.99770035]
 [ 0.04589574]
 [ 0.25894095]]","[[1172.5072864 ]
 [ 201.54525671]
 [1409.94983137]]"
15,3rd,"(738, 259)","(864, 259)","(801, 259)","(806, 378)","(1813, 719)","[[-2.95736003]
 [ 0.03421092]
 [ 0.20187322]]","[[1167.62562429]
 [ 103.27525916]
 [1405.92544518]]"
16,3rd,"(736, 253)","(859, 252)","(797, 252)","(798, 370)","(1674, 678)","[[-2.95945396]
 [ 0.03845153]
 [ 0.28790909]]","[[1152.24866362]
 [  89.82677172]
 [1409.16333211]]"
17,3rd,"(771, 281)","(899, 289)","(835, 285)","(840, 411)","(2169, 853)","[[-2.99646793e+00]
 [ 2.78824957e-04]
 [ 2.22431336e-01]]","[[1186.24088235]
 [ 166.6463283 ]
 [1329.5435954 ]]"
18,3rd,"(761, 284)","(892, 291)","(826, 287)","(834, 408)","(1980, 795)","[[-3.01291227]
 [ 0.01100531]
 [ 0.30336374]]","[[1166.32013667]
 [ 167.18181957]
 [1336.33768352]]"
19,3rd,"(753, 280)","(898, 288)","(825, 284)","(833, 408)","(1792, 841)","[[-2.96829601]
 [ 0.01533556]
 [ 0.41193456]]","[[1139.24191793]
 [ 166.11899901]
 [1318.92669696]]"
20,3rd,"(761, 281)","(934, 288)","(847, 284)","(834, 407)","(1950, 820)","[[-2.99518505]
 [ 0.01577874]
 [ 0.33100017]]","[[1157.87470718]
 [ 163.81881085]
 [1326.8365328 ]]"
21,3rd,"(595, 114)","(723, 121)","(659, 117)","(673, 248)","(1592, 596)","[[-2.82579188]
 [ 0.06591036]
 [ 0.22688733]]","[[ 748.77007559]
 [-170.65741006]
 [1233.96404194]]"
22,3rd,"(605, 114)","(727, 123)","(666, 118)","(681, 249)","(2284, 580)","[[-2.87490854]
 [ 0.02902038]
 [ 0.04830608]]","[[ 753.53670844]
 [-165.10076713]
 [1193.49124741]]"
23,3rd,"(645, 275)","(786, 278)","(715, 276)","(715, 407)","(2109, 1024)","[[-2.9865933 ]
 [-0.00727804]
 [ 0.1342275 ]]","[[ 854.88459781]
 [ 152.16236296]
 [1250.5998445 ]]"
24,3rd,"(642, 263)","(786, 267)","(714, 265)","(716, 397)","(4555, 1614)","[[-3.03336687]
 [-0.05365089]
 [ 0.01364514]]","[[ 767.77229008]
 [ 125.01351019]
 [1105.66800192]]"
25,3rd,"(641, 267)","(783, 272)","(712, 269)","(715, 394)","(3038, 1131)","[[-3.03532299]
 [-0.06960438]
 [ 0.0294016 ]]","[[ 809.11240112]
 [ 131.760922  ]
 [1174.78922999]]"
