,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
0,3rd,"(600, 314)","(739, 307)","(669, 310)","(668, 392)","(720, 472)","[[ 2.98822252]
 [-0.07783004]
 [-0.72754656]]","[[ 818.03601636]
 [ 191.43426813]
 [1433.52017924]]"
1,4th,"(674, 369)","(815, 367)","(744, 368)","(746, 464)","(478, 508)","[[ 2.72622898]
 [-0.11253646]
 [-1.27393197]]","[[ 995.93695701]
 [ 355.82482321]
 [1496.23742035]]"
2,4th,"(662, 370)","(803, 369)","(732, 369)","(730, 467)","(403, 509)","[[ 2.68536569]
 [-0.13685907]
 [-1.3641627 ]]","[[ 938.95882931]
 [ 352.26540362]
 [1477.33180446]]"
3,4th,"(645, 371)","(784, 368)","(714, 369)","(713, 463)","(364, 498)","[[ 2.66852917]
 [-0.14129579]
 [-1.37829742]]","[[ 889.87208   ]
 [ 341.39820349]
 [1464.25677536]]"
4,4th,"(639, 367)","(777, 364)","(708, 365)","(707, 459)","(419, 500)","[[ 2.7390899 ]
 [-0.12342882]
 [-1.23022242]]","[[ 887.33933828]
 [ 334.20998065]
 [1467.77103316]]"
5,4th,"(638, 364)","(776, 361)","(707, 362)","(703, 457)","(422, 507)","[[ 2.76324366]
 [-0.1151765 ]
 [-1.21163577]]","[[ 876.03143645]
 [ 328.08273774]
 [1461.84045233]]"
6,4th,"(631, 363)","(770, 359)","(700, 361)","(699, 458)","(371, 510)","[[ 2.72647235]
 [-0.14914395]
 [-1.28998795]]","[[ 851.55243703]
 [ 326.94872285]
 [1449.64354728]]"
7,4th,"(628, 363)","(767, 360)","(697, 361)","(696, 457)","(335, 503)","[[ 2.69185029]
 [-0.16163263]
 [-1.34890936]]","[[ 833.31372396]
 [ 323.05598438]
 [1436.99603819]]"
8,4th,"(629, 364)","(767, 360)","(698, 362)","(697, 458)","(400, 515)","[[ 2.76203125]
 [-0.13334271]
 [-1.2279504 ]]","[[ 854.47955238]
 [ 326.89146335]
 [1454.22701468]]"
9,4th,"(630, 365)","(770, 360)","(700, 362)","(698, 457)","(370, 503)","[[ 2.72377797]
 [-0.13570176]
 [-1.29217566]]","[[ 851.86358495]
 [ 325.52181287]
 [1452.76705982]]"
10,4th,"(631, 363)","(771, 360)","(701, 361)","(700, 458)","(442, 524)","[[ 2.79063459]
 [-0.13182636]
 [-1.15955063]]","[[ 866.32201247]
 [ 328.89756832]
 [1450.63622112]]"
11,4th,"(637, 363)","(775, 361)","(706, 362)","(703, 458)","(396, 515)","[[ 2.74850447]
 [-0.13641579]
 [-1.25812168]]","[[ 866.38714299]
 [ 328.45841332]
 [1453.1699003 ]]"
12,4th,"(634, 364)","(778, 360)","(706, 362)","(705, 457)","(426, 511)","[[ 2.76872862]
 [-0.11578262]
 [-1.2118555 ]]","[[ 879.933455  ]
 [ 327.62534719]
 [1462.04177695]]"
13,4th,"(642, 330)","(782, 329)","(712, 329)","(709, 425)","(416, 489)","[[ 2.80459221]
 [-0.1141284 ]
 [-1.2478777 ]]","[[ 871.16331531]
 [ 250.65975092]
 [1435.45893648]]"
14,4th,"(642, 322)","(784, 320)","(713, 321)","(711, 417)","(367, 478)","[[ 2.76371003]
 [-0.13270829]
 [-1.36481684]]","[[ 867.28068636]
 [ 232.6158778 ]
 [1434.12617622]]"
15,4th,"(645, 317)","(788, 316)","(716, 316)","(715, 413)","(408, 480)","[[-2.8977965 ]
 [ 0.11205699]
 [ 1.33090364]]","[[ 877.77998245]
 [ 223.78267196]
 [1427.49139358]]"
16,4th,"(647, 309)","(791, 308)","(719, 308)","(718, 406)","(500, 488)","[[-2.9476295 ]
 [ 0.09100085]
 [ 1.17308982]]","[[ 898.79236248]
 [ 206.86991279]
 [1429.94981344]]"
17,4th,"(651, 301)","(795, 301)","(723, 301)","(722, 399)","(569, 487)","[[-2.97367112]
 [ 0.06447871]
 [ 1.07744338]]","[[ 910.51373232]
 [ 190.44693718]
 [1423.5689017 ]]"
18,3rd,"(653, 303)","(797, 304)","(725, 303)","(725, 401)","(929, 633)","[[-3.00998276]
 [ 0.056977  ]
 [ 0.69411149]]","[[ 938.52068017]
 [ 202.40252595]
 [1406.12168787]]"
19,4th,"(655, 303)","(798, 303)","(726, 303)","(725, 400)","(421, 466)","[[-2.87189436]
 [ 0.09037003]
 [ 1.33383595]]","[[ 901.70899766]
 [ 193.74556104]
 [1432.15430445]]"
20,4th,"(655, 307)","(797, 307)","(726, 307)","(725, 402)","(541, 481)","[[-2.95674255]
 [ 0.06859847]
 [ 1.1394643 ]]","[[ 931.26673479]
 [ 202.00861777]
 [1451.55277852]]"
21,3rd,"(652, 307)","(793, 306)","(722, 306)","(723, 401)","(828, 579)","[[-3.01827247]
 [ 0.06233977]
 [ 0.78361558]]","[[ 938.76628529]
 [ 202.5690347 ]
 [1422.49882234]]"
22,4th,"(647, 305)","(789, 303)","(718, 304)","(716, 400)","(347, 476)","[[-2.7831319 ]
 [ 0.12724066]
 [ 1.46049478]]","[[ 869.95251877]
 [ 191.10473743]
 [1427.54724392]]"
23,4th,"(645, 303)","(787, 301)","(716, 302)","(712, 398)","(309, 465)","[[-2.75086442]
 [ 0.13484759]
 [ 1.53818792]]","[[ 846.86644111]
 [ 186.13946334]
 [1411.30026934]]"
24,4th,"(647, 302)","(789, 301)","(718, 301)","(715, 398)","(388, 476)","[[-2.83996969]
 [ 0.1161552 ]
 [ 1.36287004]]","[[ 877.44860835]
 [ 188.55567348]
 [1431.32202089]]"
25,4th,"(653, 302)","(795, 300)","(724, 301)","(721, 396)","(410, 470)","[[-2.86520156]
 [ 0.12096527]
 [ 1.33614996]]","[[ 887.62307223]
 [ 185.88693273]
 [1424.31563608]]"
26,3rd,"(657, 300)","(800, 299)","(728, 299)","(726, 392)","(1171, 651)","[[-3.04322493]
 [ 0.05031833]
 [ 0.51915046]]","[[ 946.8853628 ]
 [ 184.94230908]
 [1390.61787035]]"
27,3rd,"(654, 303)","(803, 301)","(728, 302)","(732, 395)","(1565, 715)","[[-3.06921571]
 [ 0.02839109]
 [ 0.29891598]]","[[ 957.33472293]
 [ 186.99604112]
 [1361.22216012]]"
28,3rd,"(665, 345)","(810, 346)","(737, 345)","(742, 436)","(1454, 700)","[[ 3.10347008]
 [ 0.00335711]
 [-0.3480065 ]]","[[1006.01655719]
 [ 285.67790363]
 [1404.35028676]]"
29,3rd,"(670, 343)","(814, 345)","(742, 344)","(748, 435)","(1535, 679)","[[ 3.09676462]
 [ 0.02741225]
 [-0.31067843]]","[[1017.81108878]
 [ 276.75731614]
 [1398.48996961]]"
30,3rd,"(675, 343)","(821, 347)","(748, 345)","(751, 438)","(1485, 756)","[[ 3.14004836]
 [ 0.01891165]
 [-0.35081103]]","[[1031.08863752]
 [ 289.94177728]
 [1406.96716109]]"
31,3rd,"(681, 343)","(822, 349)","(751, 346)","(751, 437)","(1248, 684)","[[ 3.10135092]
 [ 0.0161366 ]
 [-0.49319634]]","[[1041.37345656]
 [ 293.70655472]
 [1438.91626168]]"
32,3rd,"(676, 342)","(818, 347)","(747, 344)","(749, 434)","(1072, 575)","[[ 3.02650253]
 [ 0.01476774]
 [-0.60493091]]","[[1045.69371247]
 [ 285.22962612]
 [1465.77543803]]"
33,3rd,"(674, 342)","(818, 345)","(746, 343)","(748, 431)","(1195, 659)","[[ 3.08737032]
 [-0.00434968]
 [-0.52591662]]","[[1031.88551852]
 [ 284.17794694]
 [1439.62179428]]"
34,4th,"(671, 340)","(813, 342)","(742, 341)","(744, 429)","(571, 478)","[[ 2.83002351]
 [-0.06499297]
 [-1.12352571]]","[[1007.33028039]
 [ 278.79030807]
 [1498.98193218]]"
35,4th,"(669, 340)","(813, 341)","(741, 340)","(742, 429)","(578, 497)","[[ 2.85386999]
 [-0.08040321]
 [-1.11200101]]","[[ 999.47483925]
 [ 278.08252094]
 [1491.83488525]]"
36,3rd,"(667, 338)","(812, 340)","(739, 339)","(743, 428)","(1341, 646)","[[ 3.08842732]
 [ 0.01379289]
 [-0.41804056]]","[[1013.44132003]
 [ 268.79899143]
 [1418.01914842]]"
37,3rd,"(698, 336)","(844, 337)","(771, 336)","(772, 426)","(1470, 649)","[[ 3.09531517]
 [ 0.04429689]
 [-0.40554368]]","[[1078.25683391]
 [ 262.23700202]
 [1409.0869966 ]]"
38,3rd,"(692, 334)","(838, 336)","(765, 335)","(766, 425)","(1291, 649)","[[ 3.09632621]
 [ 0.00531156]
 [-0.49680689]]","[[1077.1039913 ]
 [ 268.92078724]
 [1437.6965979 ]]"
39,3rd,"(684, 333)","(830, 333)","(757, 333)","(759, 424)","(781, 504)","[[ 2.93255421]
 [-0.03671012]
 [-0.89836396]]","[[1053.37055631]
 [ 265.44348237]
 [1482.8342891 ]]"
40,4th,"(683, 330)","(829, 329)","(756, 329)","(756, 423)","(538, 467)","[[ 2.80084835]
 [-0.08173122]
 [-1.21026018]]","[[1020.79259223]
 [ 260.65166516]
 [1489.7955566 ]]"
41,4th,"(686, 330)","(829, 330)","(757, 330)","(755, 422)","(600, 473)","[[ 2.84304715]
 [-0.07515804]
 [-1.11219557]]","[[1029.00973045]
 [ 259.77404399]
 [1490.87777861]]"
42,4th,"(684, 330)","(829, 329)","(756, 329)","(755, 423)","(624, 491)","[[ 2.87066551]
 [-0.07039426]
 [-1.08202418]]","[[1027.68541162]
 [ 262.34569129]
 [1485.18491169]]"
43,4th,"(680, 322)","(830, 321)","(755, 321)","(755, 415)","(606, 481)","[[ 2.86917446]
 [-0.08110825]
 [-1.10665259]]","[[1017.39992146]
 [ 239.78141028]
 [1472.27802685]]"
44,4th,"(687, 306)","(830, 306)","(758, 306)","(755, 402)","(482, 457)","[[-2.89051548]
 [ 0.10473551]
 [ 1.34746076]]","[[ 988.30286742]
 [ 205.32677946]
 [1456.93595189]]"
45,4th,"(687, 307)","(830, 306)","(758, 306)","(755, 401)","(533, 462)","[[-2.92519587]
 [ 0.0965804 ]
 [ 1.26285751]]","[[1005.42691591]
 [ 206.83092584]
 [1469.18308167]]"
46,4th,"(685, 296)","(830, 295)","(757, 295)","(755, 392)","(490, 461)","[[-2.87279336]
 [ 0.10574313]
 [ 1.32033846]]","[[ 986.74979582]
 [ 183.11362902]
 [1451.41849802]]"
47,4th,"(686, 298)","(831, 297)","(758, 297)","(756, 395)","(393, 444)","[[-2.77175319]
 [ 0.11565782]
 [ 1.54066952]]","[[ 968.13733087]
 [ 186.68295026]
 [1449.15650229]]"
48,4th,"(687, 297)","(831, 297)","(759, 297)","(756, 394)","(428, 449)","[[-2.81910341]
 [ 0.11341578]
 [ 1.45294085]]","[[ 975.22144674]
 [ 185.65115091]
 [1449.9616538 ]]"
49,4th,"(687, 299)","(830, 298)","(758, 298)","(756, 395)","(421, 448)","[[-2.80843245]
 [ 0.10884228]
 [ 1.47549394]]","[[ 977.45443776]
 [ 189.69782704]
 [1454.81256258]]"
50,4th,"(679, 303)","(827, 304)","(753, 303)","(755, 397)","(588, 445)","[[-2.97026349]
 [ 0.07540781]
 [ 1.18122717]]","[[1020.03334897]
 [ 194.46659948]
 [1479.47071317]]"
51,3rd,"(683, 305)","(827, 307)","(755, 306)","(755, 398)","(1412, 676)","[[-3.06310833]
 [ 0.0443093 ]
 [ 0.40892351]]","[[1033.0789758 ]
 [ 200.82741911]
 [1402.26371337]]"
52,4th,"(680, 305)","(825, 306)","(752, 305)","(752, 396)","(627, 435)","[[-3.00897151]
 [ 0.07193748]
 [ 1.12467282]]","[[1025.39605125]
 [ 195.86434836]
 [1485.24218187]]"
53,4th,"(679, 345)","(823, 344)","(751, 344)","(752, 435)","(526, 483)","[[ 2.7847378 ]
 [-0.09729343]
 [-1.22620607]]","[[1026.11493659]
 [ 293.10521693]
 [1511.99734993]]"
54,4th,"(675, 345)","(820, 344)","(747, 344)","(749, 437)","(593, 520)","[[ 2.85847135]
 [-0.11300037]
 [-1.11516632]]","[[1022.58829368]
 [ 294.94218178]
 [1499.79162352]]"
55,4th,"(670, 343)","(817, 340)","(743, 341)","(745, 435)","(412, 479)","[[ 2.69572129]
 [-0.13587947]
 [-1.42054714]]","[[ 973.87551007]
 [ 286.08491292]
 [1485.7513841 ]]"
56,4th,"(668, 341)","(813, 339)","(740, 340)","(743, 434)","(525, 490)","[[ 2.80554072]
 [-0.10393408]
 [-1.18271144]]","[[ 983.53266877]
 [ 284.71198397]
 [1478.30533331]]"
57,4th,"(666, 340)","(813, 339)","(739, 339)","(741, 432)","(537, 483)","[[ 2.81151038]
 [-0.09703274]
 [-1.1590186 ]]","[[ 984.72015064]
 [ 280.00036567]
 [1482.06970659]]"
58,4th,"(670, 338)","(814, 339)","(742, 338)","(742, 433)","(509, 502)","[[ 2.81180559]
 [-0.12143637]
 [-1.2096668 ]]","[[ 974.87545625]
 [ 279.10934986]
 [1470.75377705]]"
59,3rd,"(673, 337)","(817, 338)","(745, 337)","(748, 431)","(1345, 726)","[[ 3.12907052]
 [-0.02861276]
 [-0.43747698]]","[[1021.44088948]
 [ 279.19714689]
 [1413.63696133]]"
60,3rd,"(687, 335)","(833, 338)","(760, 336)","(763, 432)","(1640, 686)","[[ 3.10077306]
 [ 0.03268161]
 [-0.30050107]]","[[1045.25002028]
 [ 268.21419651]
 [1382.89702938]]"
61,3rd,"(707, 333)","(856, 340)","(781, 336)","(784, 432)","(1805, 712)","[[ 3.11227067]
 [ 0.09042337]
 [-0.26811256]]","[[1083.23934386]
 [ 265.77543896]
 [1367.20992101]]"
62,3rd,"(734, 330)","(878, 343)","(806, 336)","(805, 433)","(1927, 706)","[[ 3.10958936]
 [ 0.12017001]
 [-0.24155097]]","[[1134.41428312]
 [ 265.86397512]
 [1367.58127882]]"
63,4th,"(671, 342)","(824, 332)","(747, 337)","(748, 430)","(398, 468)","[[ 2.648311  ]
 [-0.19711507]
 [-1.44433873]]","[[ 969.05880169]
 [ 273.74667335]
 [1466.76542682]]"
64,4th,"(586, 350)","(719, 327)","(652, 338)","(660, 433)","(307, 493)","[[ 2.71683759]
 [-0.29966069]
 [-1.24432314]]","[[ 753.5835914 ]
 [ 268.3691504 ]
 [1429.70439608]]"
65,4th,"(580, 351)","(715, 327)","(647, 339)","(653, 433)","(323, 494)","[[ 2.74197795]
 [-0.30362931]
 [-1.17155301]]","[[ 739.41325896]
 [ 268.16474342]
 [1424.54916507]]"
66,4th,"(570, 354)","(713, 326)","(641, 340)","(643, 435)","(304, 503)","[[ 2.7415451 ]
 [-0.323509  ]
 [-1.17069695]]","[[ 715.81898763]
 [ 271.89095075]
 [1422.5732953 ]]"
67,4th,"(563, 357)","(704, 328)","(633, 342)","(635, 437)","(304, 514)","[[ 2.75232287]
 [-0.34574505]
 [-1.13119337]]","[[ 697.62320282]
 [ 275.73255551]
 [1414.78352714]]"
68,4th,"(562, 358)","(690, 329)","(626, 343)","(634, 437)","(297, 511)","[[ 2.74899031]
 [-0.34265968]
 [-1.13311619]]","[[ 692.00563743]
 [ 275.33944437]
 [1411.21471293]]"
69,4th,"(563, 359)","(697, 331)","(630, 345)","(635, 437)","(313, 510)","[[ 2.75430417]
 [-0.34383065]
 [-1.11113936]]","[[ 699.53479303]
 [ 276.84766156]
 [1417.28871601]]"
70,4th,"(567, 357)","(708, 331)","(637, 344)","(639, 438)","(335, 509)","[[ 2.77539454]
 [-0.31123276]
 [-1.08854691]]","[[ 709.79234129]
 [ 277.03822316]
 [1422.03582915]]"
71,4th,"(571, 355)","(712, 329)","(641, 342)","(643, 436)","(363, 515)","[[ 2.79540046]
 [-0.30727546]
 [-1.06258027]]","[[ 723.53713009]
 [ 274.23131716]
 [1422.77851952]]"
72,4th,"(578, 352)","(720, 328)","(649, 340)","(646, 436)","(331, 516)","[[ 2.77603267]
 [-0.30871484]
 [-1.12056074]]","[[ 718.8046485 ]
 [ 271.53553755]
 [1407.69003039]]"
73,4th,"(584, 351)","(727, 330)","(655, 340)","(653, 437)","(336, 500)","[[ 2.75865295]
 [-0.28695057]
 [-1.14671868]]","[[ 739.67478467]
 [ 274.87653148]
 [1426.34575883]]"
74,4th,"(589, 350)","(730, 330)","(659, 340)","(656, 437)","(306, 510)","[[ 2.74183781]
 [-0.29462149]
 [-1.21839175]]","[[ 737.09353414]
 [ 272.8079549 ]
 [1412.49667788]]"
