,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
0,4th,"(610, 368)","(731, 382)","(670, 375)","(658, 451)","(592, 615)","[[ 3.0762703 ]
 [ 0.0223141 ]
 [-0.94016415]]","[[ 965.80253376]
 [ 372.92935807]
 [1734.95423201]]"
1,4th,"(607, 378)","(721, 387)","(664, 382)","(655, 456)","(629, 625)","[[ 3.09166673]
 [ 0.00773605]
 [-0.85829896]]","[[ 978.61954384]
 [ 395.57312329]
 [1769.53861893]]"
2,4th,"(609, 379)","(721, 389)","(665, 384)","(654, 459)","(605, 638)","[[ 3.09861423]
 [ 0.00703847]
 [-0.90641413]]","[[ 974.65203604]
 [ 403.34312819]
 [1769.12355552]]"
3,4th,"(606, 379)","(718, 388)","(662, 383)","(654, 458)","(638, 641)","[[ 3.11626461]
 [ 0.01359031]
 [-0.84236002]]","[[ 982.89745924]
 [ 404.26736524]
 [1781.34998412]]"
4,4th,"(606, 380)","(719, 388)","(662, 384)","(654, 459)","(632, 633)","[[ 3.09816185e+00]
 [-1.48309763e-04]
 [-8.47870123e-01]]","[[ 980.33507989]
 [ 404.46597239]
 [1779.34302881]]"
5,4th,"(607, 381)","(719, 390)","(663, 385)","(653, 459)","(624, 620)","[[ 3.08084319]
 [ 0.01575226]
 [-0.85597866]]","[[ 979.77864846]
 [ 407.85973759]
 [1785.59925585]]"
6,4th,"(608, 384)","(720, 394)","(664, 389)","(655, 468)","(634, 665)","[[ 3.1149595 ]
 [ 0.03338319]
 [-0.85104384]]","[[ 960.92985211]
 [ 417.38249286]
 [1737.26990563]]"
7,4th,"(585, 384)","(717, 393)","(651, 388)","(650, 467)","(600, 651)","[[ 3.0904657 ]
 [-0.00917051]
 [-0.89776549]]","[[ 954.24386728]
 [ 418.69509693]
 [1751.45668713]]"
8,4th,"(589, 363)","(703, 371)","(646, 367)","(639, 447)","(628, 633)","[[ 3.12585924]
 [-0.00740526]
 [-0.79894657]]","[[ 915.63294128]
 [ 359.80536985]
 [1737.10969827]]"
9,4th,"(586, 363)","(701, 371)","(643, 367)","(635, 447)","(574, 631)","[[ 3.10523241]
 [ 0.0059645 ]
 [-0.88046372]]","[[ 876.0112098 ]
 [ 347.10627376]
 [1688.70486635]]"
10,4th,"(589, 369)","(704, 376)","(646, 372)","(638, 452)","(599, 645)","[[ 3.12250669]
 [-0.01675262]
 [-0.85517919]]","[[ 912.28462572]
 [ 374.63345346]
 [1738.16847084]]"
11,4th,"(592, 375)","(707, 381)","(649, 378)","(638, 454)","(562, 604)","[[ 3.05417336]
 [ 0.00827669]
 [-0.9129668 ]]","[[ 909.30048446]
 [ 379.3200634 ]
 [1737.25914923]]"
12,4th,"(593, 374)","(708, 382)","(650, 378)","(639, 457)","(566, 617)","[[ 3.06000617]
 [-0.01709642]
 [-0.91075074]]","[[ 911.16175607]
 [ 386.38112752]
 [1733.59386202]]"
13,4th,"(589, 366)","(705, 376)","(647, 371)","(635, 452)","(573, 627)","[[ 3.0943657 ]
 [-0.01866639]
 [-0.88578908]]","[[ 898.50921175]
 [ 370.62485525]
 [1733.65977847]]"
14,4th,"(592, 370)","(708, 380)","(650, 375)","(638, 455)","(557, 641)","[[ 3.09378946]
 [-0.03426359]
 [-0.93566191]]","[[ 903.49798219]
 [ 379.2065371 ]
 [1725.13166812]]"
15,4th,"(595, 379)","(706, 385)","(650, 382)","(639, 458)","(550, 611)","[[ 3.0434352 ]
 [-0.04369627]
 [-0.94698717]]","[[ 922.78249758]
 [ 395.79532198]
 [1758.6737033 ]]"
16,4th,"(591, 377)","(706, 385)","(648, 381)","(637, 457)","(536, 609)","[[ 3.04448105]
 [-0.01144617]
 [-0.96213809]]","[[ 906.2292524 ]
 [ 388.90159818]
 [1744.24442936]]"
17,4th,"(584, 376)","(703, 382)","(643, 379)","(636, 455)","(577, 634)","[[ 3.0922572 ]
 [-0.0159819 ]
 [-0.88146462]]","[[ 901.49139063]
 [ 381.86616998]
 [1732.13111594]]"
18,4th,"(589, 379)","(702, 385)","(645, 382)","(635, 457)","(532, 621)","[[ 3.05476716]
 [-0.05225917]
 [-0.9729306 ]]","[[ 906.98005137]
 [ 392.6081066 ]
 [1752.34178985]]"
19,4th,"(597, 390)","(709, 397)","(653, 393)","(642, 468)","(574, 628)","[[ 3.06061521]
 [-0.01335837]
 [-0.91316346]]","[[ 948.57460352]
 [ 432.17890375]
 [1793.5658915 ]]"
20,4th,"(596, 388)","(707, 393)","(651, 390)","(641, 466)","(560, 626)","[[ 3.04730699]
 [-0.03032773]
 [-0.92813364]]","[[ 922.87754048]
 [ 415.93071435]
 [1750.8526604 ]]"
21,4th,"(593, 388)","(706, 394)","(649, 391)","(639, 466)","(576, 640)","[[ 3.07165024]
 [-0.0355328 ]
 [-0.8973191 ]]","[[ 924.77908766]
 [ 418.60951326]
 [1758.25178528]]"
22,4th,"(587, 386)","(705, 391)","(646, 388)","(639, 464)","(573, 629)","[[ 3.06002237]
 [-0.05069988]
 [-0.90170425]]","[[ 929.30122053]
 [ 415.86094736]
 [1770.62892133]]"
23,4th,"(591, 385)","(702, 391)","(646, 388)","(635, 463)","(540, 612)","[[ 3.03984948]
 [-0.02135046]
 [-0.94786013]]","[[ 914.14324249]
 [ 411.07146562]
 [1769.95778186]]"
24,4th,"(591, 387)","(704, 394)","(647, 390)","(637, 465)","(573, 635)","[[ 3.06540307]
 [-0.03354654]
 [-0.89352093]]","[[ 916.74050982]
 [ 414.97181499]
 [1753.06927244]]"
25,4th,"(592, 388)","(705, 394)","(648, 391)","(637, 468)","(556, 617)","[[ 3.0285367 ]
 [-0.06844705]
 [-0.92462223]]","[[ 930.84639291]
 [ 429.94583787]
 [1786.02051593]]"
26,4th,"(587, 383)","(701, 390)","(644, 386)","(634, 465)","(556, 625)","[[ 3.04903931]
 [-0.04420088]
 [-0.90827799]]","[[ 902.95098087]
 [ 410.9914631 ]
 [1750.16898543]]"
27,4th,"(585, 382)","(698, 387)","(641, 384)","(632, 462)","(556, 621)","[[ 3.05139956]
 [-0.05482692]
 [-0.9021912 ]]","[[ 900.15574221]
 [ 404.06077188]
 [1754.65808535]]"
28,4th,"(592, 391)","(705, 398)","(648, 394)","(639, 472)","(584, 644)","[[ 3.06388715]
 [-0.03128231]
 [-0.87415162]]","[[ 922.58922057]
 [ 434.07574326]
 [1757.75178356]]"
29,4th,"(588, 385)","(700, 390)","(644, 387)","(633, 466)","(579, 639)","[[ 3.07415708]
 [-0.03707786]
 [-0.86515938]]","[[ 907.39896959]
 [ 416.47660984]
 [1757.22543702]]"
30,4th,"(591, 391)","(703, 396)","(647, 393)","(637, 472)","(580, 635)","[[ 3.05358907]
 [-0.04087808]
 [-0.87206418]]","[[ 921.28422218]
 [ 433.59130857]
 [1765.52953867]]"
31,4th,"(590, 390)","(705, 394)","(647, 392)","(634, 471)","(583, 662)","[[ 3.09241485]
 [-0.05898712]
 [-0.86907428]]","[[ 912.00543702]
 [ 428.92754202]
 [1757.37605863]]"
32,4th,"(593, 394)","(712, 401)","(652, 397)","(636, 475)","(597, 686)","[[ 3.11298856]
 [-0.03593885]
 [-0.85313844]]","[[ 910.81654681]
 [ 438.56540566]
 [1739.42410416]]"
33,4th,"(587, 392)","(711, 399)","(649, 395)","(637, 472)","(583, 649)","[[ 3.0690898 ]
 [-0.03577006]
 [-0.87293473]]","[[ 919.05461714]
 [ 434.86552626]
 [1756.39284535]]"
34,4th,"(591, 393)","(710, 398)","(650, 395)","(634, 472)","(577, 634)","[[ 3.05043335]
 [-0.02416115]
 [-0.86536891]]","[[ 906.7265221]
 [ 432.5670738]
 [1752.0148271]]"
35,4th,"(585, 392)","(712, 399)","(648, 395)","(635, 474)","(570, 674)","[[ 3.08411946]
 [-0.04357622]
 [-0.89397184]]","[[ 891.9261629 ]
 [ 429.17604098]
 [1712.56614637]]"
36,4th,"(595, 397)","(710, 403)","(652, 400)","(638, 476)","(556, 633)","[[ 3.03060341]
 [-0.04415764]
 [-0.92615358]]","[[ 926.05251199]
 [ 448.14163016]
 [1770.1539751 ]]"
37,4th,"(585, 393)","(707, 400)","(646, 396)","(637, 473)","(585, 650)","[[ 3.069001  ]
 [-0.03171399]
 [-0.86596935]]","[[ 916.10218418]
 [ 436.30812635]
 [1753.4096694 ]]"
38,4th,"(586, 393)","(708, 400)","(647, 396)","(639, 474)","(556, 626)","[[ 3.02029562]
 [-0.05075055]
 [-0.92048873]]","[[ 917.71534812]
 [ 439.33848739]
 [1754.18526104]]"
39,4th,"(586, 392)","(711, 398)","(648, 395)","(638, 471)","(551, 631)","[[ 3.02716491]
 [-0.03132988]
 [-0.92399525]]","[[ 896.55290376]
 [ 422.44385967]
 [1712.79727131]]"
