,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
0,3rd,"(395, 413)","(545, 410)","(470, 411)","(467, 516)","(663, 1330)","[[ 3.19142146]
 [-0.07076795]
 [-0.26103666]]","[[ 322.80480878]
 [ 404.65273779]
 [1272.84367956]]"
1,3rd,"(565, 440)","(708, 445)","(636, 442)","(636, 543)","(1113, 1028)","[[ 3.07902436]
 [ 0.00682753]
 [-0.35335335]]","[[ 728.93936179]
 [ 491.60215779]
 [1365.13444526]]"
2,3rd,"(534, 442)","(678, 447)","(606, 444)","(604, 550)","(948, 1057)","[[ 3.06486719]
 [-0.00408395]
 [-0.40958733]]","[[ 642.91221059]
 [ 494.37511621]
 [1337.55202654]]"
3,3rd,"(508, 462)","(652, 467)","(580, 464)","(576, 572)","(815, 1077)","[[ 3.03595851]
 [-0.00839893]
 [-0.42668727]]","[[ 582.77227967]
 [ 541.4651155 ]
 [1339.9751037 ]]"
4,3rd,"(502, 482)","(646, 485)","(574, 483)","(571, 593)","(756, 1163)","[[ 3.06980941]
 [-0.02223883]
 [-0.44837804]]","[[ 582.98004947]
 [ 605.10469984]
 [1375.16405923]]"
5,3rd,"(505, 469)","(651, 472)","(578, 470)","(576, 580)","(946, 1164)","[[ 3.067235  ]
 [-0.01448581]
 [-0.32767562]]","[[ 589.93300993]
 [ 564.46813916]
 [1349.32654257]]"
6,3rd,"(522, 497)","(661, 502)","(591, 499)","(592, 604)","(937, 1177)","[[ 3.11230978]
 [ 0.01790298]
 [-0.31021994]]","[[ 670.47507102]
 [ 669.60779822]
 [1453.43999704]]"
7,4th,"(476, 444)","(609, 446)","(542, 445)","(536, 540)","(472, 786)","[[ 2.9621897 ]
 [-0.06152071]
 [-0.58712106]]","[[ 518.5826885 ]
 [ 513.36991587]
 [1448.37908202]]"
8,3rd,"(516, 423)","(651, 435)","(583, 429)","(568, 526)","(691, 830)","[[ 3.02783898]
 [ 0.0848768 ]
 [-0.48297422]]","[[ 592.14286004]
 [ 469.52131886]
 [1415.48180376]]"
9,3rd,"(514, 391)","(653, 403)","(583, 397)","(571, 496)","(721, 879)","[[ 3.11148435]
 [ 0.07709401]
 [-0.48480339]]","[[ 587.98314735]
 [ 392.17427215]
 [1386.06956182]]"
10,3rd,"(502, 381)","(642, 390)","(572, 385)","(558, 481)","(731, 833)","[[ 3.10893167]
 [ 0.03144649]
 [-0.43041628]]","[[ 560.24389703]
 [ 364.24153213]
 [1392.9561731 ]]"
11,3rd,"(571, 356)","(709, 377)","(640, 366)","(641, 467)","(1581, 944)","[[ 3.15886491]
 [ 0.17992114]
 [-0.0705227 ]]","[[ 728.91816953]
 [ 319.35528258]
 [1335.11462772]]"
12,3rd,"(548, 361)","(688, 374)","(618, 367)","(618, 468)","(1296, 921)","[[ 3.16151376]
 [ 0.10447966]
 [-0.19231756]]","[[ 685.69853912]
 [ 325.63869814]
 [1350.46303743]]"
13,3rd,"(553, 378)","(692, 389)","(622, 383)","(623, 479)","(1244, 891)","[[ 3.13558625]
 [ 0.10141005]
 [-0.21656978]]","[[ 710.6430636 ]
 [ 357.2243978 ]
 [1374.74680282]]"
14,3rd,"(548, 382)","(686, 390)","(617, 386)","(616, 480)","(1061, 839)","[[ 3.1192471 ]
 [ 0.05849257]
 [-0.31046481]]","[[ 703.97646765]
 [ 366.39732409]
 [1403.25896566]]"
15,3rd,"(546, 370)","(682, 376)","(614, 373)","(613, 468)","(1028, 798)","[[ 3.11594442]
 [ 0.04703809]
 [-0.33269428]]","[[ 695.60960186]
 [ 339.49256992]
 [1400.36426152]]"
16,3rd,"(550, 364)","(686, 374)","(618, 369)","(614, 464)","(973, 791)","[[ 3.13337425]
 [ 0.09319924]
 [-0.36807319]]","[[ 706.67219052]
 [ 336.08260434]
 [1421.34370912]]"
17,3rd,"(576, 361)","(708, 375)","(642, 368)","(639, 459)","(1320, 793)","[[ 3.14049513]
 [ 0.14486754]
 [-0.12894308]]","[[ 773.05415522]
 [ 328.34660826]
 [1424.94784015]]"
18,3rd,"(583, 357)","(717, 375)","(650, 366)","(648, 461)","(1462, 838)","[[ 3.14759369]
 [ 0.17493071]
 [-0.08864438]]","[[ 777.84622934]
 [ 320.474595  ]
 [1390.1110553 ]]"
19,3rd,"(585, 333)","(722, 353)","(653, 343)","(652, 441)","(1465, 817)","[[ 3.17840158]
 [ 0.16842568]
 [-0.11029144]]","[[ 777.23616802]
 [ 269.74266012]
 [1379.16767061]]"
20,3rd,"(592, 288)","(733, 307)","(662, 297)","(662, 394)","(1584, 724)","[[-3.06806609]
 [-0.14074119]
 [ 0.11662795]]","[[ 774.66307531]
 [ 160.8716115 ]
 [1336.62396428]]"
21,3rd,"(586, 324)","(721, 343)","(653, 333)","(656, 424)","(1452, 738)","[[ 3.17255399]
 [ 0.16508581]
 [-0.10111342]]","[[ 792.03540597]
 [ 237.79783127]
 [1395.58300498]]"
22,3rd,"(581, 334)","(717, 350)","(649, 342)","(654, 433)","(1359, 743)","[[ 3.16627993]
 [ 0.11981731]
 [-0.15390752]]","[[ 796.95707237]
 [ 260.44537115]
 [1411.92408518]]"
23,3rd,"(519, 317)","(660, 325)","(589, 321)","(594, 417)","(1131, 826)","[[ 3.23815942]
 [ 0.03370698]
 [-0.20870739]]","[[ 634.39131573]
 [ 215.38345067]
 [1371.93850813]]"
24,3rd,"(469, 320)","(609, 320)","(539, 320)","(545, 419)","(896, 837)","[[ 3.22417428]
 [-0.04272602]
 [-0.27500025]]","[[ 515.80207445]
 [ 216.79587655]
 [1353.95804845]]"
25,3rd,"(442, 344)","(579, 338)","(510, 341)","(519, 439)","(748, 876)","[[ 3.22459172]
 [-0.12637145]
 [-0.2983457 ]]","[[ 469.0727914 ]
 [ 269.02744922]
 [1393.79845   ]]"
26,3rd,"(480, 340)","(616, 344)","(548, 342)","(547, 436)","(793, 826)","[[ 3.2268715 ]
 [-0.02555601]
 [-0.3242277 ]]","[[ 544.39721246]
 [ 268.28111622]
 [1425.93604748]]"
27,3rd,"(504, 341)","(637, 348)","(570, 344)","(570, 438)","(936, 814)","[[ 3.22044277]
 [ 0.00558408]
 [-0.24998596]]","[[ 603.09004505]
 [ 273.64292622]
 [1434.10246457]]"
28,3rd,"(535, 358)","(665, 366)","(600, 362)","(602, 453)","(1071, 804)","[[ 3.19253032]
 [ 0.0488669 ]
 [-0.1934416 ]]","[[ 693.39997434]
 [ 315.26592188]
 [1462.11770895]]"
29,3rd,"(528, 362)","(657, 371)","(592, 366)","(598, 456)","(1088, 820)","[[ 3.20787026]
 [ 0.05500056]
 [-0.14472789]]","[[ 692.45155513]
 [ 325.75209148]
 [1478.08700547]]"
30,3rd,"(520, 367)","(648, 372)","(584, 369)","(588, 457)","(951, 801)","[[ 3.19413732]
 [ 0.01900431]
 [-0.24914239]]","[[ 670.23013728]
 [ 333.21124592]
 [1489.95375815]]"
31,3rd,"(516, 373)","(643, 378)","(579, 375)","(582, 461)","(873, 792)","[[ 3.19066579]
 [ 0.0044941 ]
 [-0.29373329]]","[[ 665.57969346]
 [ 351.72660999]
 [1519.43804138]]"
32,3rd,"(519, 360)","(645, 364)","(582, 362)","(588, 449)","(916, 752)","[[ 3.18094737]
 [ 0.00953199]
 [-0.2761116 ]]","[[ 677.19990802]
 [ 316.77116001]
 [1505.91455348]]"
33,3rd,"(514, 341)","(642, 345)","(578, 343)","(578, 431)","(702, 701)","[[ 3.18178622]
 [-0.00347447]
 [-0.48795727]]","[[ 652.37989704]
 [ 275.35534418]
 [1517.00193294]]"
34,3rd,"(509, 336)","(637, 339)","(573, 337)","(571, 424)","(628, 662)","[[ 3.16313895]
 [-0.01726342]
 [-0.55412055]]","[[ 637.88693584]
 [ 261.10012203]
 [1529.72436926]]"
35,3rd,"(544, 318)","(673, 326)","(608, 322)","(600, 408)","(744, 638)","[[ 3.188846  ]
 [ 0.02658562]
 [-0.50572507]]","[[ 715.09254497]
 [ 222.60883511]
 [1533.50347916]]"
36,3rd,"(541, 311)","(671, 320)","(606, 315)","(603, 403)","(925, 668)","[[-3.02880099]
 [-0.04656566]
 [ 0.30145772]]","[[ 713.63304103]
 [ 205.70084902]
 [1501.65542031]]"
37,3rd,"(550, 289)","(681, 299)","(615, 294)","(614, 385)","(921, 635)","[[-3.00359056]
 [-0.04129703]
 [ 0.33645557]]","[[ 737.41105344]
 [ 158.71483457]
 [1496.92521861]]"
38,3rd,"(539, 273)","(672, 281)","(605, 277)","(604, 370)","(947, 645)","[[-2.97482427]
 [-0.033993  ]
 [ 0.28650167]]","[[ 705.26838657]
 [ 120.62071957]
 [1476.02882847]]"
39,3rd,"(560, 261)","(692, 274)","(626, 267)","(627, 360)","(1162, 628)","[[-2.98734971]
 [-0.06447457]
 [ 0.154427  ]]","[[ 753.97190944]
 [  94.36169336]
 [1459.94733754]]"
40,3rd,"(578, 252)","(707, 268)","(642, 260)","(647, 353)","(1386, 607)","[[-3.00324736]
 [-0.11298674]
 [ 0.0357422 ]]","[[ 791.013709  ]
 [  74.51398241]
 [1433.95816934]]"
41,3rd,"(600, 246)","(723, 267)","(661, 256)","(673, 348)","(1592, 530)","[[-3.04302573]
 [-0.154506  ]
 [-0.09874512]]","[[ 860.78654217]
 [  60.89548771]
 [1443.00028   ]]"
