,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
0,2nd,"(566, 286)","(696, 285)","(631, 285)","(634, 351)","(1031, 324)","[[ 3.03561112]
 [ 0.04391289]
 [-0.3076243 ]]","[[ 783.61401051]
 [ 101.8592078 ]
 [1484.17456033]]"
1,2nd,"(562, 304)","(694, 300)","(628, 302)","(630, 370)","(823, 347)","[[ 2.99037948]
 [ 0.04104105]
 [-0.47663718]]","[[ 790.80904243]
 [ 148.72193696]
 [1534.76423453]]"
2,2nd,"(563, 305)","(692, 301)","(627, 303)","(630, 372)","(832, 350)","[[ 2.99026663]
 [ 0.05715669]
 [-0.47055159]]","[[ 787.51933483]
 [ 153.44028729]
 [1526.36398397]]"
3,2nd,"(564, 306)","(694, 302)","(629, 304)","(632, 371)","(889, 333)","[[ 2.98315395]
 [ 0.05129527]
 [-0.41824044]]","[[ 790.01064383]
 [ 151.16514823]
 [1514.57952003]]"
4,2nd,"(567, 305)","(695, 302)","(631, 303)","(632, 372)","(805, 348)","[[ 2.98275679]
 [ 0.03812892]
 [-0.50102099]]","[[ 793.03089344]
 [ 153.1697142 ]
 [1532.544161  ]]"
5,2nd,"(571, 295)","(701, 294)","(636, 294)","(641, 361)","(916, 319)","[[ 2.9980386 ]
 [ 0.06657007]
 [-0.404752  ]]","[[ 828.24827379]
 [ 127.11836403]
 [1544.064418  ]]"
6,2nd,"(577, 295)","(707, 295)","(642, 295)","(647, 362)","(981, 312)","[[ 2.99471452]
 [ 0.06286506]
 [-0.35906036]]","[[ 836.20622323]
 [ 128.5941854 ]
 [1527.89718271]]"
7,2nd,"(578, 295)","(709, 296)","(643, 295)","(647, 360)","(987, 331)","[[ 3.01242377]
 [ 0.09684916]
 [-0.35542656]]","[[ 834.14755612]
 [ 129.84476584]
 [1527.39257194]]"
8,2nd,"(581, 294)","(710, 295)","(645, 294)","(651, 359)","(1008, 305)","[[ 2.99415586]
 [ 0.06051676]
 [-0.33896827]]","[[ 852.37204454]
 [ 124.81385807]
 [1534.68544442]]"
9,2nd,"(586, 292)","(715, 293)","(650, 292)","(652, 359)","(986, 319)","[[ 3.00505088]
 [ 0.09099219]
 [-0.38073911]]","[[ 837.84612125]
 [ 124.09010284]
 [1512.26836714]]"
10,2nd,"(575, 292)","(703, 291)","(639, 291)","(635, 356)","(688, 309)","[[ 2.9562146 ]
 [ 0.0579654 ]
 [-0.64418165]]","[[ 806.90679996]
 [ 117.7037711 ]
 [1558.08534068]]"
11,1st,"(563, 295)","(687, 291)","(625, 293)","(613, 357)","(403, 299)","[[ 2.83934944]
 [ 0.02061007]
 [-0.98405066]]","[[ 726.53452248]
 [ 117.37769005]
 [1546.44341465]]"
12,1st,"(559, 296)","(682, 292)","(620, 294)","(607, 358)","(340, 289)","[[ 2.77999612]
 [ 0.01746683]
 [-1.08205568]]","[[ 708.5094342 ]
 [ 120.83541314]
 [1556.61081329]]"
13,1st,"(556, 297)","(678, 293)","(617, 295)","(601, 359)","(347, 330)","[[ 2.84457806]
 [ 0.01000721]
 [-1.0687657 ]]","[[ 701.49206048]
 [ 122.52692483]
 [1563.8799824 ]]"
14,1st,"(561, 293)","(675, 290)","(618, 291)","(596, 355)","(336, 323)","[[ 2.84683772]
 [ 0.02207425]
 [-1.06335519]]","[[ 683.61304974]
 [ 115.44352166]
 [1551.73743825]]"
15,1st,"(559, 293)","(673, 288)","(616, 290)","(595, 353)","(357, 300)","[[ 2.84466268]
 [ 0.00975014]
 [-0.99806041]]","[[ 676.17038898]
 [ 107.39764932]
 [1525.80377801]]"
16,1st,"(558, 289)","(673, 287)","(615, 288)","(591, 352)","(336, 344)","[[ 2.88791112]
 [ 0.03116162]
 [-1.07202606]]","[[ 682.04445091]
 [ 105.89577423]
 [1559.97523006]]"
17,1st,"(558, 291)","(673, 287)","(615, 289)","(596, 353)","(363, 320)","[[ 2.8624445 ]
 [-0.00286339]
 [-1.01754198]]","[[ 693.19854539]
 [ 107.40541365]
 [1557.1635444 ]]"
18,1st,"(559, 290)","(672, 286)","(615, 288)","(594, 350)","(403, 328)","[[ 2.89671494]
 [ 0.00560366]
 [-0.96723924]]","[[ 716.96416501]
 [ 105.27225973]
 [1601.11274545]]"
19,1st,"(551, 291)","(672, 285)","(611, 288)","(595, 352)","(305, 325)","[[ 2.82666104]
 [ 0.02577423]
 [-1.14942436]]","[[ 686.74525097]
 [ 107.40044126]
 [1559.87593838]]"
20,1st,"(548, 293)","(670, 286)","(609, 289)","(596, 353)","(422, 309)","[[ 2.89271617]
 [ 0.02168324]
 [-0.89885898]]","[[ 692.98140897]
 [ 107.8274502 ]
 [1548.56087006]]"
21,1st,"(548, 294)","(670, 288)","(609, 291)","(596, 354)","(374, 295)","[[ 2.84171931]
 [ 0.01700421]
 [-0.97908529]]","[[ 688.84682477]
 [ 111.21239445]
 [1552.24699593]]"
22,1st,"(548, 296)","(670, 289)","(609, 292)","(594, 356)","(398, 308)","[[ 2.87844231]
 [ 0.02229708]
 [-0.9222107 ]]","[[ 677.9064221 ]
 [ 113.08241492]
 [1528.92385359]]"
23,1st,"(547, 295)","(670, 287)","(608, 291)","(593, 355)","(389, 303)","[[ 2.87362365]
 [ 0.02261569]
 [-0.92912701]]","[[ 670.50374245]
 [ 109.20425261]
 [1523.49585853]]"
24,1st,"(546, 292)","(669, 285)","(607, 288)","(594, 354)","(304, 328)","[[ 2.82397551]
 [-0.00476739]
 [-1.1378917 ]]","[[ 681.67990369]
 [ 110.69488047]
 [1558.37948538]]"
25,1st,"(548, 291)","(671, 285)","(609, 288)","(597, 353)","(342, 330)","[[ 2.85463992]
 [-0.00337642]
 [-1.07141371]]","[[ 696.04919857]
 [ 108.85793609]
 [1564.06515204]]"
26,1st,"(550, 291)","(676, 285)","(613, 288)","(601, 352)","(403, 295)","[[ 2.86339971]
 [ 0.03083055]
 [-0.94577818]]","[[ 700.25658473]
 [ 105.49015553]
 [1541.90696459]]"
27,1st,"(555, 295)","(680, 288)","(617, 291)","(606, 355)","(411, 292)","[[ 2.84346018]
 [ 0.01516748]
 [-0.95154765]]","[[ 721.00345922]
 [ 114.08794139]
 [1564.9482834 ]]"
28,1st,"(560, 294)","(687, 290)","(623, 292)","(617, 353)","(513, 267)","[[ 2.86753982]
 [ 0.05397819]
 [-0.8128242 ]]","[[ 752.91027126]
 [ 111.20664358]
 [1567.41610801]]"
29,2nd,"(566, 292)","(694, 288)","(630, 290)","(628, 353)","(678, 287)","[[ 2.94377204]
 [ 0.06709886]
 [-0.63196945]]","[[ 778.83691025]
 [ 110.98924616]
 [1540.71818003]]"
30,2nd,"(580, 287)","(709, 288)","(644, 287)","(646, 351)","(905, 279)","[[ 2.97932468]
 [ 0.08186215]
 [-0.43945908]]","[[ 824.09930888]
 [ 105.26780683]
 [1518.55592136]]"
31,2nd,"(589, 286)","(717, 288)","(653, 287)","(653, 352)","(1035, 303)","[[ 3.01245851]
 [ 0.1020845 ]
 [-0.33250728]]","[[ 842.55030655]
 [ 107.97176543]
 [1513.79054052]]"
32,2nd,"(591, 285)","(721, 288)","(656, 286)","(664, 352)","(1136, 266)","[[ 2.99117214]
 [ 0.08010328]
 [-0.26649657]]","[[ 864.3753336 ]
 [ 102.3027909 ]
 [1500.09907037]]"
33,2nd,"(600, 285)","(730, 291)","(665, 288)","(676, 352)","(1293, 259)","[[ 2.98964721]
 [ 0.09004383]
 [-0.14064694]]","[[ 899.79659868]
 [ 105.79901975]
 [1501.68480835]]"
34,2nd,"(603, 285)","(731, 292)","(667, 288)","(679, 354)","(1256, 250)","[[ 2.97837782]
 [ 0.09087585]
 [-0.18181143]]","[[ 899.60335944]
 [ 107.34507442]
 [1498.96238289]]"
