,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
0,3rd,"(647, 405)","(756, 410)","(701, 407)","(697, 492)","(1129, 769)","[[ 3.12942992]
 [ 0.04710087]
 [-0.33027174]]","[[1023.67118042]
 [ 453.96343985]
 [1601.45359679]]"
1,3rd,"(624, 418)","(733, 419)","(678, 418)","(675, 505)","(943, 773)","[[-3.04944875]
 [ 0.03494032]
 [ 0.38531336]]","[[1064.28981135]
 [ 527.29803494]
 [1775.32871949]]"
2,3rd,"(634, 415)","(741, 414)","(687, 414)","(686, 496)","(880, 722)","[[ 3.13830869]
 [-0.08127331]
 [-0.52001639]]","[[1105.41593939]
 [ 517.72649554]
 [1808.0750572 ]]"
3,3rd,"(633, 415)","(739, 411)","(686, 413)","(689, 489)","(947, 691)","[[ 3.1158105 ]
 [-0.09479372]
 [-0.40877587]]","[[1121.56278427]
 [ 504.91460098]
 [1816.4030136 ]]"
4,3rd,"(632, 412)","(739, 407)","(685, 409)","(696, 486)","(1044, 715)","[[ 3.13738915]
 [-0.11056941]
 [-0.2989148 ]]","[[1101.41680916]
 [ 484.17546542]
 [1761.55594872]]"
5,3rd,"(641, 409)","(747, 407)","(694, 408)","(695, 477)","(843, 596)","[[ 3.00540753]
 [-0.05112378]
 [-0.57569781]]","[[1129.08244856]
 [ 478.62538648]
 [1818.80528232]]"
6,4th,"(682, 389)","(779, 383)","(730, 386)","(731, 458)","(575, 495)","[[ 2.76995399]
 [-0.15718699]
 [-1.23069824]]","[[1314.32671402]
 [ 452.55291979]
 [2022.09462099]]"
7,4th,"(574, 368)","(667, 344)","(620, 356)","(603, 435)","(273, 459)","[[ 2.52880032]
 [-0.3479289 ]
 [-1.55618281]]","[[ 811.04676628]
 [ 318.57935859]
 [1775.51293507]]"
8,4th,"(724, 275)","(858, 258)","(791, 266)","(787, 343)","(541, 359)","[[-2.8477008 ]
 [ 0.15024538]
 [ 1.44646589]]","[[1175.23443439]
 [  82.3159873 ]
 [1592.17582875]]"
9,4th,"(806, 258)","(950, 247)","(878, 252)","(871, 325)","(837, 337)","[[-2.94382784]
 [ 0.05434888]
 [ 1.17349984]]","[[1413.98543051]
 [  48.38406612]
 [1590.11965248]]"
10,4th,"(814, 278)","(961, 273)","(887, 275)","(881, 352)","(858, 386)","[[-2.95061834]
 [ 0.06271469]
 [ 1.17063268]]","[[1423.3683549 ]
 [ 116.81916935]
 [1572.49894521]]"
11,4th,"(796, 263)","(943, 256)","(869, 259)","(863, 335)","(827, 345)","[[-2.94952867]
 [ 0.01641485]
 [ 1.16558046]]","[[1399.98198663]
 [  69.87656686]
 [1598.45802415]]"
12,3rd,"(770, 241)","(917, 233)","(843, 237)","(836, 314)","(981, 320)","[[-3.01277802e+00]
 [-2.54561260e-04]
 [ 9.07924091e-01]]","[[1285.91544589]
 [  13.26693116]
 [1518.40257226]]"
13,1st,"(743, 230)","(892, 226)","(817, 228)","(805, 304)","(776, 294)","[[-2.95955234]
 [-0.03193584]
 [ 1.06895548]]","[[1187.30737695]
 [  -9.83041432]
 [1508.50397269]]"
14,1st,"(639, 289)","(783, 293)","(711, 291)","(694, 368)","(655, 337)","[[ 2.92282377]
 [ 0.12563615]
 [-0.87163979]]","[[ 875.38805069]
 [ 133.02458762]
 [1441.1842731 ]]"
15,1st,"(599, 291)","(742, 289)","(670, 290)","(665, 366)","(647, 339)","[[ 2.93962739]
 [ 0.0546876 ]
 [-0.78807399]]","[[ 802.10969529]
 [ 127.68153763]
 [1430.73357526]]"
16,1st,"(565, 284)","(709, 273)","(637, 278)","(631, 352)","(565, 311)","[[ 2.93487676]
 [-0.03344366]
 [-0.77555691]]","[[ 717.43937121]
 [  95.3775023 ]
 [1416.55365465]]"
17,1st,"(533, 328)","(673, 309)","(603, 318)","(597, 392)","(391, 330)","[[ 2.8146273 ]
 [-0.1120856 ]
 [-0.86056389]]","[[ 639.64766247]
 [ 182.69536609]
 [1436.86360573]]"
18,1st,"(545, 347)","(683, 331)","(614, 339)","(606, 412)","(392, 347)","[[ 2.77298148]
 [-0.08623185]
 [-0.89882791]]","[[ 672.53749115]
 [ 232.28730802]
 [1469.67749349]]"
19,1st,"(624, 258)","(775, 256)","(699, 257)","(685, 334)","(485, 306)","[[-2.99144678]
 [-0.02650316]
 [ 1.14517625]]","[[ 874.06089035]
 [  55.94364803]
 [1492.28503836]]"
20,1st,"(641, 239)","(782, 228)","(711, 233)","(690, 311)","(364, 274)","[[-2.87899941e+00]
 [ 2.27627035e-03]
 [ 1.39568381e+00]]","[[8.54532152e+02]
 [7.90691527e-01]
 [1.46008772e+03]]"
21,2nd,"(768, 190)","(934, 184)","(851, 187)","(829, 283)","(1033, 270)","[[-2.97860627]
 [-0.01503112]
 [ 0.89671752]]","[[1096.74917528]
 [ -58.46339587]
 [1305.5347068 ]]"
22,3rd,"(821, 176)","(1001, 178)","(911, 177)","(900, 276)","(1994, 422)","[[-2.96369565]
 [-0.03439958]
 [ 0.5867385 ]]","[[1193.74436098]
 [ -60.18956767]
 [1219.64677606]]"
23,3rd,"(853, 199)","(1024, 205)","(938, 202)","(922, 298)","(1782, 302)","[[-3.03473327]
 [-0.12833679]
 [ 0.62977738]]","[[1331.38709352]
 [ -27.97206176]
 [1313.26891773]]"
24,3rd,"(855, 223)","(1020, 226)","(937, 224)","(910, 311)","(939, 336)","[[-2.8870859 ]
 [-0.10048012]
 [ 1.11561997]]","[[1390.12370954]
 [   8.64095932]
 [1454.33033205]]"
25,1st,"(722, 320)","(871, 307)","(796, 313)","(783, 398)","(470, 373)","[[ 2.66085722]
 [-0.04561955]
 [-1.38434642]]","[[1036.35902455]
 [ 195.92923977]
 [1435.31750983]]"
26,1st,"(687, 345)","(830, 334)","(758, 339)","(751, 427)","(430, 414)","[[ 2.65703066]
 [-0.10654256]
 [-1.3150251 ]]","[[ 947.61263034]
 [ 257.12924736]
 [1409.75051864]]"
27,2nd,"(700, 236)","(848, 237)","(774, 236)","(758, 322)","(1020, 293)","[[-3.08383681]
 [-0.08061437]
 [ 0.72749083]]","[[1021.12242154]
 [  23.54293087]
 [1402.44423673]]"
28,2nd,"(650, 252)","(785, 246)","(717, 249)","(711, 318)","(754, 299)","[[-3.07299423]
 [-0.00748797]
 [ 0.83441824]]","[[ 993.48977596]
 [  27.73250089]
 [1552.69156375]]"
