,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
0,1st,"(327, 159)","(457, 163)","(392, 161)","(381, 233)","(28, 119)","[[-3.02834479]
 [-0.1616477 ]
 [ 0.55951037]]","[[ 151.40198451]
 [-178.84375539]
 [1389.22346863]]"
1,1st,"(369, 204)","(488, 205)","(428, 204)","(422, 266)","(208, 162)","[[-3.10202983]
 [-0.12249322]
 [ 0.60015985]]","[[ 269.28799566]
 [-112.6804568 ]
 [1543.57230877]]"
2,2nd,"(395, 216)","(527, 225)","(461, 220)","(453, 280)","(453, 174)","[[-3.1552568 ]
 [-0.13422257]
 [ 0.36101755]]","[[ 351.1118071 ]
 [ -78.44048596]
 [1537.72495541]]"
3,2nd,"(413, 224)","(545, 235)","(479, 229)","(477, 291)","(653, 197)","[[-3.17416603]
 [-0.12731138]
 [ 0.19299861]]","[[ 411.87890843]
 [ -52.8638097 ]
 [1528.02981045]]"
4,2nd,"(427, 225)","(561, 238)","(494, 231)","(494, 293)","(725, 217)","[[-3.16319947]
 [-0.14140676]
 [ 0.16722516]]","[[ 453.61928083]
 [ -46.30299016]
 [1523.82393045]]"
5,2nd,"(431, 217)","(562, 232)","(496, 224)","(492, 288)","(651, 243)","[[-3.12051233]
 [-0.14896714]
 [ 0.24122822]]","[[ 452.32350947]
 [ -61.27255676]
 [1538.21431488]]"
6,2nd,"(422, 222)","(556, 236)","(489, 229)","(485, 293)","(659, 239)","[[-3.13799204]
 [-0.15087768]
 [ 0.21696059]]","[[ 428.8748022 ]
 [ -47.02648857]
 [1515.9288905 ]]"
7,2nd,"(405, 226)","(535, 239)","(470, 232)","(467, 296)","(617, 219)","[[-3.16169059]
 [-0.15873214]
 [ 0.21032211]]","[[ 381.88034685]
 [ -39.05969902]
 [1505.27370233]]"
8,2nd,"(398, 229)","(535, 240)","(466, 234)","(463, 295)","(581, 185)","[[-3.18579603]
 [-0.1270327 ]
 [ 0.24433451]]","[[ 369.561278  ]
 [ -41.61670356]
 [1496.61166579]]"
9,1st,"(390, 221)","(513, 229)","(451, 225)","(452, 295)","(374, 239)","[[-3.11602534]
 [-0.1446318 ]
 [ 0.45389883]]","[[ 338.57100167]
 [ -40.42192692]
 [1506.13803922]]"
10,1st,"(387, 222)","(508, 230)","(447, 226)","(444, 294)","(348, 218)","[[-3.13121504]
 [-0.15858084]
 [ 0.47209822]]","[[ 325.69719354]
 [ -42.48501887]
 [1527.79895454]]"
11,1st,"(380, 221)","(505, 229)","(442, 225)","(438, 295)","(314, 250)","[[-3.09565761]
 [-0.16444669]
 [ 0.47819689]]","[[ 303.13976127]
 [ -44.06939757]
 [1507.46259347]]"
12,1st,"(370, 219)","(493, 225)","(431, 222)","(427, 291)","(276, 233)","[[-3.10420964]
 [-0.14444119]
 [ 0.49149479]]","[[ 276.33129807]
 [ -50.92882436]
 [1506.72874393]]"
13,1st,"(353, 224)","(479, 231)","(416, 227)","(410, 295)","(239, 202)","[[-3.13716431]
 [-0.16495127]
 [ 0.47550726]]","[[ 232.70678142]
 [ -41.20563088]
 [1479.19170722]]"
14,1st,"(344, 212)","(472, 218)","(408, 215)","(404, 285)","(257, 205)","[[-3.11545148]
 [-0.16633735]
 [ 0.40719641]]","[[ 213.09173163]
 [ -64.57181744]
 [1451.10488062]]"
15,1st,"(352, 215)","(478, 221)","(415, 218)","(410, 285)","(224, 213)","[[-3.10477413]
 [-0.14999159]
 [ 0.49137076]]","[[ 232.71436964]
 [ -64.57407514]
 [1484.02430716]]"
16,1st,"(350, 219)","(476, 226)","(413, 222)","(408, 292)","(252, 232)","[[-3.10719706]
 [-0.17098116]
 [ 0.4378674 ]]","[[ 225.50924157]
 [ -50.20833265]
 [1479.63286992]]"
17,1st,"(367, 212)","(491, 217)","(429, 214)","(425, 283)","(245, 219)","[[-3.08982344]
 [-0.15090731]
 [ 0.51733769]]","[[ 266.03001403]
 [ -70.67165491]
 [1495.4954641 ]]"
18,1st,"(363, 211)","(485, 218)","(424, 214)","(420, 283)","(255, 216)","[[-3.09633516]
 [-0.16819834]
 [ 0.48454993]]","[[ 255.31850216]
 [ -69.61759605]
 [1492.87165527]]"
19,1st,"(340, 218)","(466, 224)","(403, 221)","(398, 288)","(213, 204)","[[-3.12313031]
 [-0.15859966]
 [ 0.46342938]]","[[ 205.2434384 ]
 [ -56.54178464]
 [1483.01204223]]"
20,1st,"(317, 237)","(441, 241)","(379, 239)","(373, 304)","(153, 180)","[[-3.17952389]
 [-0.15897453]
 [ 0.4547711 ]]","[[ 141.24176193]
 [ -24.37945573]
 [1485.87672924]]"
21,1st,"(316, 237)","(439, 238)","(377, 237)","(373, 304)","(144, 245)","[[-3.13243104]
 [-0.10197432]
 [ 0.45976652]]","[[ 142.27661086]
 [ -22.20818359]
 [1492.377446  ]]"
22,1st,"(315, 236)","(439, 238)","(377, 237)","(371, 303)","(134, 217)","[[-3.1506804 ]
 [-0.12586742]
 [ 0.46692291]]","[[ 137.63214078]
 [ -23.21128849]
 [1482.65468675]]"
23,1st,"(303, 248)","(428, 250)","(365, 249)","(354, 314)","(57, 202)","[[-3.17785502]
 [-0.1433883 ]
 [ 0.52729296]]","[[9.83308414e+01]
 [1.23093975e+00]
 [1.48102902e+03]]"
24,1st,"(307, 227)","(430, 229)","(368, 228)","(360, 293)","(60, 130)","[[-3.18450478]
 [-0.14964559]
 [ 0.537811  ]]","[[ 109.09765797]
 [ -49.16035252]
 [1469.73692067]]"
25,1st,"(311, 233)","(432, 234)","(371, 233)","(364, 298)","(85, 167)","[[-3.17274334]
 [-0.13789331]
 [ 0.53066226]]","[[ 120.48183435]
 [ -36.84194733]
 [1494.95739473]]"
26,1st,"(316, 229)","(438, 231)","(377, 230)","(368, 294)","(88, 104)","[[-3.20489321]
 [-0.17525691]
 [ 0.53910697]]","[[ 128.3460518 ]
 [ -48.39329133]
 [1471.17258602]]"
27,1st,"(312, 224)","(436, 229)","(374, 226)","(360, 295)","(74, 164)","[[ 3.04503203]
 [ 0.1760483 ]
 [-0.47631847]]","[[ 110.42165623]
 [ -47.08938732]
 [1452.21396749]]"
28,1st,"(313, 231)","(435, 232)","(374, 231)","(366, 299)","(92, 213)","[[-3.13701577]
 [-0.1119871 ]
 [ 0.5044949 ]]","[[ 122.43080025]
 [ -36.83822652]
 [1487.83763173]]"
29,1st,"(321, 228)","(443, 232)","(382, 230)","(372, 296)","(76, 184)","[[-3.14628295]
 [-0.14714872]
 [ 0.57556201]]","[[ 139.38107559]
 [ -38.8883989 ]
 [1491.51902621]]"
30,1st,"(322, 202)","(448, 207)","(385, 204)","(377, 273)","(154, 192)","[[-3.09166936]
 [-0.18074843]
 [ 0.4450278 ]]","[[ 152.50161036]
 [ -94.19008356]
 [1471.46725076]]"
31,1st,"(303, 199)","(431, 204)","(367, 201)","(358, 268)","(99, 112)","[[-3.13998727]
 [-0.16804796]
 [ 0.43134124]]","[[ 107.6027227 ]
 [-102.82247156]
 [1429.68774782]]"
32,1st,"(304, 199)","(429, 202)","(366, 200)","(357, 269)","(33, 161)","[[-3.09835434]
 [-0.14722946]
 [ 0.50230395]]","[[  98.90747155]
 [-101.80751712]
 [1433.49330014]]"
33,1st,"(306, 183)","(434, 189)","(370, 186)","(360, 253)","(87, 91)","[[-3.11483257]
 [-0.18561376]
 [ 0.44819665]]","[[ 110.37311759]
 [-139.14859695]
 [1430.58699719]]"
34,1st,"(307, 207)","(434, 210)","(370, 208)","(362, 279)","(80, 209)","[[-3.09257469]
 [-0.13001709]
 [ 0.46056511]]","[[ 111.87256122]
 [ -79.94199385]
 [1440.69203861]]"
35,1st,"(306, 194)","(435, 197)","(370, 195)","(361, 261)","(84, 61)","[[-3.15372565]
 [-0.18334891]
 [ 0.46354473]]","[[ 111.07591619]
 [-122.05190218]
 [1428.92080407]]"
36,1st,"(301, 214)","(426, 217)","(363, 215)","(353, 280)","(47, 101)","[[-3.17243792]
 [-0.16616798]
 [ 0.49655207]]","[[  90.94776995]
 [ -78.48979047]
 [1444.84398422]]"
37,2nd,"(327, 203)","(466, 213)","(396, 208)","(387, 268)","(392, 85)","[[-3.19006385]
 [-0.13767661]
 [ 0.1957897 ]]","[[ 177.85678417]
 [-103.0054301 ]
 [1446.35750577]]"
38,2nd,"(338, 232)","(474, 246)","(406, 239)","(398, 303)","(470, 206)","[[-3.18529607]
 [-0.14690802]
 [ 0.14720365]]","[[ 205.05029897]
 [ -22.77360671]
 [1450.69873262]]"
39,2nd,"(348, 220)","(482, 234)","(415, 227)","(405, 290)","(470, 156)","[[-3.19334911]
 [-0.15769083]
 [ 0.17008764]]","[[ 221.2757919 ]
 [ -51.51154011]
 [1460.10287887]]"
40,3rd,"(324, 215)","(464, 229)","(394, 222)","(385, 294)","(451, 304)","[[-3.0970467 ]
 [-0.12214609]
 [ 0.11914632]]","[[ 168.93766026]
 [ -41.98194732]
 [1405.24214629]]"
41,3rd,"(327, 227)","(466, 238)","(396, 232)","(390, 308)","(511, 361)","[[-3.09552942]
 [-0.09026288]
 [ 0.0802554 ]]","[[ 177.47729563]
 [ -11.38021707]
 [1387.77664847]]"
42,3rd,"(339, 232)","(478, 245)","(408, 238)","(402, 315)","(531, 399)","[[-3.08533664]
 [-0.10287366]
 [ 0.1030641 ]]","[[ 204.31941677]
 [   3.45456798]
 [1385.12808359]]"
43,3rd,"(345, 222)","(484, 235)","(414, 228)","(407, 305)","(556, 375)","[[-3.07753862]
 [-0.1091253 ]
 [ 0.09528008]]","[[ 217.76823188]
 [ -18.42164496]
 [1390.82203612]]"
44,3rd,"(335, 223)","(474, 236)","(404, 229)","(400, 306)","(587, 363)","[[-3.09170699]
 [-0.09276906]
 [ 0.05141848]]","[[ 199.99255438]
 [ -16.58111099]
 [1374.30257125]]"
45,3rd,"(328, 227)","(470, 239)","(399, 233)","(397, 312)","(549, 439)","[[-3.05674526]
 [-0.10169368]
 [ 0.0690613 ]]","[[ 190.23770969]
 [  -4.66663668]
 [1370.66077593]]"
46,3rd,"(349, 232)","(480, 244)","(414, 238)","(416, 315)","(615, 386)","[[-3.09116018]
 [-0.11530256]
 [ 0.06378688]]","[[ 240.44090508]
 [   2.38186138]
 [1405.09959783]]"
47,3rd,"(366, 226)","(498, 239)","(432, 232)","(432, 309)","(642, 375)","[[-3.08110588]
 [-0.11464604]
 [ 0.08166996]]","[[ 282.82331848]
 [ -11.62031626]
 [1428.68316762]]"
48,3rd,"(380, 225)","(515, 241)","(447, 233)","(440, 308)","(609, 382)","[[-3.06883408]
 [-0.13588206]
 [ 0.13799139]]","[[ 300.58805858]
 [ -13.43584209]
 [1431.37490705]]"
49,3rd,"(375, 232)","(510, 248)","(442, 240)","(436, 315)","(620, 382)","[[-3.08835355]
 [-0.15135828]
 [ 0.12020573]]","[[ 286.28506192]
 [   3.72066691]
 [1415.45206529]]"
50,3rd,"(382, 219)","(521, 238)","(451, 228)","(448, 309)","(807, 435)","[[-3.05101385]
 [-0.13386965]
 [ 0.01226841]]","[[ 308.22607658]
 [ -13.62649606]
 [1370.50327564]]"
51,3rd,"(394, 235)","(529, 255)","(461, 245)","(460, 330)","(941, 459)","[[-3.08370849]
 [-0.13718561]
 [-0.04542529]]","[[ 332.96250859]
 [  28.43856551]
 [1355.72476122]]"
52,3rd,"(420, 235)","(558, 256)","(489, 245)","(490, 337)","(1136, 581)","[[-3.03606361]
 [-0.15492186]
 [-0.08421285]]","[[ 389.93569323]
 [  40.87399316]
 [1327.12125735]]"
53,3rd,"(421, 251)","(561, 273)","(491, 262)","(496, 358)","(1138, 717)","[[-3.0165023 ]
 [-0.16176886]
 [-0.04047428]]","[[ 397.883484  ]
 [  83.62794624]
 [1308.69143287]]"
54,3rd,"(420, 254)","(563, 276)","(491, 265)","(490, 362)","(948, 748)","[[-3.00897535]
 [-0.15526879]
 [ 0.08829058]]","[[ 380.35877544]
 [  92.68148909]
 [1300.40762099]]"
55,3rd,"(395, 255)","(544, 275)","(469, 265)","(463, 363)","(732, 817)","[[-2.98850318]
 [-0.15124427]
 [ 0.17285412]]","[[ 314.97656552]
 [  94.67875799]
 [1270.65174137]]"
56,4th,"(362, 257)","(508, 271)","(435, 264)","(427, 362)","(379, 799)","[[-2.97304733]
 [-0.1168345 ]
 [ 0.2988417 ]]","[[ 236.13828645]
 [  93.64400637]
 [1271.22917824]]"
57,4th,"(347, 257)","(493, 269)","(420, 263)","(411, 360)","(318, 766)","[[-2.98781035]
 [-0.08966957]
 [ 0.29982477]]","[[ 204.61330311]
 [  90.51222858]
 [1274.71306522]]"
58,3rd,"(333, 267)","(483, 277)","(408, 272)","(405, 369)","(417, 866)","[[-2.98543023]
 [-0.06855018]
 [ 0.21104396]]","[[ 190.97938944]
 [ 108.33619959]
 [1263.80767737]]"
59,4th,"(329, 278)","(483, 286)","(406, 282)","(404, 377)","(399, 908)","[[-2.97081855]
 [-0.03514194]
 [ 0.21934512]]","[[ 189.06150179]
 [ 124.57969144]
 [1273.94672437]]"
60,4th,"(331, 279)","(487, 285)","(409, 282)","(406, 379)","(402, 934)","[[-2.96905841]
 [-0.01305711]
 [ 0.22500758]]","[[ 192.32439591]
 [ 127.63383605]
 [1266.28380041]]"
61,4th,"(333, 278)","(490, 283)","(411, 280)","(406, 379)","(316, 953)","[[-2.94518427e+00]
 [-2.41304039e-03]
 [ 2.84450143e-01]]","[[ 191.78735143]
 [ 127.28302219]
 [1265.47712977]]"
62,4th,"(350, 287)","(504, 294)","(427, 290)","(421, 387)","(354, 916)","[[-2.94785996]
 [-0.00846246]
 [ 0.30759087]]","[[ 227.62579282]
 [ 146.33054073]
 [1295.37716721]]"
63,4th,"(371, 299)","(520, 305)","(445, 302)","(435, 398)","(377, 864)","[[-2.96377378e+00]
 [ 1.14897482e-04]
 [ 3.40629626e-01]]","[[ 264.29540723]
 [ 173.21314125]
 [1335.26822827]]"
64,3rd,"(393, 311)","(544, 316)","(468, 313)","(468, 410)","(731, 965)","[[-2.98014401]
 [ 0.0126975 ]
 [ 0.16015595]]","[[ 333.50086519]
 [ 198.12663288]
 [1321.3509052 ]]"
65,3rd,"(456, 302)","(590, 308)","(523, 305)","(531, 401)","(1158, 837)","[[-3.02163747]
 [-0.00906347]
 [ 0.00454932]]","[[ 481.7264683 ]
 [ 177.04623223]
 [1346.3350567 ]]"
66,3rd,"(496, 304)","(628, 314)","(562, 309)","(570, 406)","(1402, 824)","[[-3.02363403]
 [-0.07914579]
 [-0.11118809]]","[[ 580.89410714]
 [ 189.72705078]
 [1364.1438022 ]]"
67,3rd,"(504, 317)","(631, 329)","(567, 323)","(576, 417)","(1362, 823)","[[-3.03873931]
 [-0.09409698]
 [-0.08996575]]","[[ 602.36781099]
 [ 218.77687297]
 [1385.09241543]]"
68,3rd,"(514, 309)","(640, 321)","(577, 315)","(584, 409)","(1337, 771)","[[-3.04625395]
 [-0.09723636]
 [-0.05243606]]","[[ 625.33572218]
 [ 199.81115821]
 [1395.6310541 ]]"
69,3rd,"(514, 307)","(640, 321)","(577, 314)","(584, 411)","(1379, 801)","[[-3.04015069]
 [-0.10042908]
 [-0.06543522]]","[[ 621.80453941]
 [ 203.06118737]
 [1381.60019143]]"
70,3rd,"(516, 289)","(646, 304)","(581, 296)","(588, 388)","(1390, 608)","[[-3.11092011]
 [-0.10556154]
 [-0.05985453]]","[[ 633.73637442]
 [ 154.73987749]
 [1388.05227524]]"
71,3rd,"(515, 273)","(646, 289)","(580, 281)","(589, 371)","(1578, 542)","[[-3.12638252]
 [-0.12501648]
 [-0.14357864]]","[[ 621.46423198]
 [ 116.28250412]
 [1347.56940088]]"
72,3rd,"(512, 272)","(642, 290)","(577, 281)","(585, 372)","(1664, 564)","[[-3.1232074 ]
 [-0.14713387]
 [-0.17140846]]","[[ 603.06268686]
 [ 117.50442026]
 [1322.91405939]]"
73,3rd,"(515, 266)","(646, 284)","(580, 275)","(588, 364)","(1695, 501)","[[-3.13923113]
 [-0.15661353]
 [-0.18153256]]","[[ 609.61134204]
 [ 100.16243854]
 [1320.96547598]]"
