,quadrant,left_pupil,right_pupil,gaze_center_x,gaze_center_y,nose_end_points,gaze_end_points
0,3rd,"(616, 349)","(763, 356)",689,352,"(700, 436)","(2137, 606)"
1,2nd,"(555, 338)","(710, 333)",632,335,"(629, 418)","(805, 389)"
2,2nd,"(551, 342)","(705, 335)",628,338,"(625, 419)","(790, 367)"
3,2nd,"(549, 347)","(700, 340)",624,343,"(620, 422)","(656, 356)"
4,2nd,"(552, 348)","(702, 342)",627,345,"(622, 422)","(645, 373)"
5,1st,"(551, 351)","(702, 344)",626,347,"(620, 425)","(494, 396)"
6,2nd,"(549, 351)","(692, 346)",620,348,"(619, 430)","(628, 424)"
7,1st,"(547, 353)","(692, 345)",619,349,"(614, 427)","(587, 410)"
8,1st,"(546, 354)","(687, 348)",616,351,"(615, 430)","(590, 424)"
9,4th,"(547, 356)","(688, 349)",617,352,"(617, 432)","(594, 434)"
10,3rd,"(547, 355)","(689, 349)",618,352,"(617, 432)","(670, 435)"
11,3rd,"(555, 353)","(697, 350)",626,351,"(624, 432)","(682, 437)"
12,3rd,"(565, 352)","(707, 353)",636,352,"(631, 431)","(828, 456)"
13,3rd,"(574, 353)","(719, 355)",646,354,"(642, 434)","(1126, 502)"
14,3rd,"(564, 351)","(709, 350)",636,350,"(640, 434)","(954, 502)"
